"Your Kindle Notes For:",,,
"CARRYING THE FIRE: 50TH ANNIVERSARY EDITION",,,
"by Michael Collins",,,
"Free Kindle instant preview:",,,
"https://a.co/7lkoPBT",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 36","","It is easy to so identify with the story that you become an astronaut yourself."
"Highlight (Yellow)","Location 38","","On the porch of his home at Worcester, Massachusetts, in 1929, I listened to Goddard talk about his liquid rockets and his dreams of spatial exploration. He felt quite certain, he told me, that he would be able to build a rocket capable of carrying scientific instruments to altitudes approaching one hundred miles; and that from these altitudes, above atmospheric interference, valuable observations could be made. He thought it would even be possible to build a multistage rocket that could reach the moon; but “it might cost a million dollars,” he added, with an air of dismissing the idea from consideration. At that time, none of Goddard’s rockets had reached an altitude of one mile, to say nothing of one hundred. His estimated budget for a year’s experimental work was $25,000, including laboratory, launching tower, equipment, salaries, and transportation. Now I was reading about an accomplished voyage to the moon, and the United States was spending millions of dollars every day on the development of rockets."
"Highlight (Yellow)","Location 46","","Carrying the Fire roots into Goddard’s pioneering work, and branches in modern technology’s accomplishments. You must have witnessed an Apollo ascent to know the title’s aptness. When a countdown at Cape Canaveral touches zero, you think the giant rocket will be consumed by bursting clouds of flame and thunder. Where I stood with astronauts three miles away from Apollo 11’s pad, my chest was beaten and the ground shook as though bombs were falling nearby. Then a flame arose, left the ground behind—higher—faster—a meteor streaking through the sky. It seemed impossible for life to exist while carrying that ball of fire. Yet it did exist, as I saw later on a television screen that portrayed weightless men, countless instruments, and planet earth through a window."
"Highlight (Yellow)","Location 55","","How isolated, how lonely those two space supermen appeared! But they had each other for companionship; and through television, they were held in the thoughts of viewing millions of men and women. To be really isolated, to fully experience loneliness, you must be alone. From Armstrong’s and Aldrin’s spectacular movements, my mind shifted to Collins’s lunar orbiting. Relatively inactive and unwatched, he had time for contemplation,"
"Highlight (Yellow)","Location 59","","Here was human awareness floating through universal reaches, attached to our earth by such tenuous bonds as radio waves and star sights. A minor functional error would leave it floating forever in the space from which, ancestrally, it came. Only once before had I felt such extension as when I thought of Astronaut Collins. That was over the Atlantic Ocean on my nonstop flight with the Spirit of St. Louis."
"Highlight (Yellow)","Location 62","","I had been without sleep for more than two days and two nights, and my awareness seemed to be abandoning my body to expand on stellar scales. There were moments when I seemed so disconnected from the world, my plane, my mind and heartbeat that they were completely unessential to my new existence. Experiences of that flight combined with those of ensuing life have caused me to value all human accomplishments by their effect on the intangible quality we name “awareness.”"
"Highlight (Yellow)","Location 67","","After evolutionary epochs, life in the human species became aware of its awareness. Then in a comparatively short period of time, using such devices as lenses and spacecraft for assistance, man has extended his awareness outwardly through the universe and inwardly through the atom."
"Highlight (Yellow)","Location 70","","We find the speed of light and the vastness of space to be incompatible with biological time."
"Highlight (Yellow)","Location 75","","We see life compressed on a shrunken orb at the same time we feel awareness expanded to fantastically great dimensions. Can we harmonize the two? What does the future hold for man?"
"Highlight (Yellow)","Location 87","","Is it remotely possible that we are approaching a stage in evolution when we can discover how to separate ourselves entirely from earthly life, to abandon our physical frameworks in order to extend both inwardly and outwardly through limitless dimensions of awareness? In future universal explorations, may we have no need for vehicles or matter?"
