"Your Kindle Notes For:",,,
"CLOWNFISH BLUES: A NOVEL (SERGE STORMS)",,,
"by Tim Dorsey",,,
"Free Kindle instant preview:",,,
"http://a.co/4Y1z791",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Page 5","","“Jesus, don’t buy lottery tickets,” said Serge. “The store won’t tell you this because they’re in on it, but the whole thing is a fool’s bet. It’s a tax on people who are bad at arithmetic.” “What the hell’s going on here? Just give me the tickets!” “Buy food instead,” said Serge. “That’s a sure thing.”"
"Highlight (Yellow)","Page 7","","“I can’t believe they fired us,” said Coleman. “I was starting to get pretty good at that.” “Doesn’t matter,” said Serge. “We were going to quit tomorrow anyway.” “But we just started working there Monday.” “That’s right. We reached our time limit.” Serge pulled a lottery ticket from his pocket and gently caressed the image of a loggerhead turtle. “It’s the key to our new lifestyle choice, moving on to a new town every week and getting another job, just like all the classic American TV road shows: Route 66, The Fugitive, Branded, Kung Fu, and the all-but-overlooked Sea Hunt, starring Lloyd Bridges. None of them ever stayed more than a week.”"
"Highlight (Yellow)","Page 7","","Even rebels must answer to the prime-time network schedule.”"
"Highlight (Yellow)","Page 8","","High above the road stood the familiar flamingo logo with a tropical splash of colors that promoted wealth without work."
"Highlight (Yellow)","Page 14","","“Do you actually know anything about worm-grunting?” “Everything,” said Serge. “Do I look like some kind of amateur? You fashion a foot-and-a-half wooden stake made of persimmon or oak that’s called a ‘stob’ and pound it into nutrient-rich soil. Next you take an equal length of metal known as a ‘rooping iron’ that’s often a leaf spring salvaged from the suspension of an abandoned truck. Then you rub the iron over the top of the stob to mimic the frequency of the earthworm’s mortal nemesis, digging moles. Consequently, your quarry flees to the surface, and before you know it”—he snapped his fingers—“you’re tits-high in earthworms. Lower property taxes for everyone!”"
"Highlight (Yellow)","Page 15","","“Where’d you learn all that?” “Books, Internet.” “But have you actually done it?” “Knowledge trumps experience,” said Serge. “Einstein never built an A-bomb, but ask a certain country how that turned out.”"
"Highlight (Yellow)","Page 18","","“We have to get the hell out of here!” Serge threw the Stingray in gear as a disheveled woman staggered out in a daze and pulled up a bra strap. “Wait! Why are you leaving?” “To protect you,” Serge yelled as he hit the gas. “There are a lot of serial killers running around. Luckily it was just me this time, but you need to be more careful.”"
"Highlight (Yellow)","Page 19","","Then came a sea change in the industry near the turn of the millennium. The Internet had dwindled readership to the point that vulture capitalists could acquire most papers for less than the cost of the land under the buildings."
"Highlight (Yellow)","Page 20","","said Rock, his short sleeves rolled all the way up to reveal tattoos of the Chinese symbols for love and hate. Except the tattoo artist had been coming off a mule-kick hangover, and the designs ended up saying love and storage unit."
"Highlight (Yellow)","Page 21","","You know how journalists can get.” “Right,” said Reevis. “We’re supposed to be aggressively curious about everything except malfeasance in our own company.” “And sarcastic,” said Shug. But he was old school, too, and liked that about Reevis."
"Highlight (Yellow)","Page 22","","“Remember when CNN was all news, all the time?” “Sure. They cast the mold.” “Then ratings began to slip, so they began filling prime time with reality shows. People working weird jobs, celebrity psychiatrists, Anthony Bourdain drunk in the Alps.”"
"Highlight (Yellow)","Page 23","","“Then there’s Deadliest Dig, a true-life look at the outrageously harrowing world of worm-grunters in the Apalachicola Forest.” “What are worm-grunters?” “They trudge miles across the muck to catch earthworms for fishing-bait stores.” “Doesn’t sound dangerous.” “They also solve crime.”"
"Highlight (Yellow)","Page 23","","We already have a full lineup of shows where people solve crime, like the ones I already mentioned, plus Seminole blackjack dealers, retired circus people, glassblowers who don’t trust outsiders, Jell-O shot waitresses, the Wives of Jiffy Lube . . .” “Where is this going?” asked Reevis. “Don’t you see? That’s the beauty of it. That’s the whole genius!” said Nigel. “These other people didn’t know anything about detective work before we came along. But you actually have extensive experience investigating crime for a living. It’s so crazy it just might work!”"
"Highlight (Yellow)","Page 28","","“Having sex with her was my obligation to the fidelity of the TV series. On the other hand, we’re out to revolutionize worm-grunting, and intercourse always blunts your edge in a drive to the championship. Remember in Raging Bull how Robert De Niro shunned sex and put ice in his underpants before a prizefight? A few orgasms probably won’t cost me many pails of worms, but why roll the dice?” “So when you told her about all the serial killers running around?” “Trying to let her down easy,” said Serge. “During a breakup, you can hem and haw about ‘No, it’s not you; it’s me,’ but that can drag on for weeks. Jump right to ‘serial killers’ and it’s a clean break.” “I admire you,” said Coleman."
"Highlight (Yellow)","Page 29","","“Hardware stores are the opposite of Pottery Barns. If the two ever collided in deep space, they would explode like matter and anti-matter.”"
"Highlight (Yellow)","Page 29","","“You always know where you stand in a Home Depot.” “They should call it the No-Bullshit Depot,”"
"Highlight (Yellow)","Page 40","","“Nature enthusiasts and the U.S. Navy use hydrophones to listen to majestic whales or enemy submarines, depending on which lifestyle they signed up for.”"
"Highlight (Yellow)","Page 47","","The police took statements from the women before leading the future ex-landlord away in cuffs."
"Highlight (Yellow)","Page 49","","“You boys just make yourself at home . . .” Behind them, Willard poured clear liquid into a pair of mismatched coffee mugs. “Easy with this stuff if ya ain’t used to it.” “Don’t worry about me.” Coleman took a stiff pull. “What do ya think?” asked Willard. No answer. Coleman stood perfectly still, surprised eyes indicating an internal security breach. Then he suffered a brutal coughing fit that brought tears and drool. “You better set yourself down.” Coleman waved him off and pounded his chest, then jiggled his coffee mug, signaling for another pour. “You sure?” Coleman nodded firmly. “Damn,” Willard said as he unscrewed the jar again. “Hey, Jasper, this one’s got some tough bark on him.”"
"Highlight (Yellow)","Page 50","","“Even country restaurants don’t have a likin’ for the words ‘swamp cabbage’ on their menu, so they call it heart of palm, which is the tasty soft bulb you cut out of the trunk just below the base of the leaves. Cabbage palmetto, also known as—” “Sabal palm,” said Serge. “The state tree. They probably would have picked the coconut palm, but needed something that also grew in Florida’s northern latitudes.” “You sure nuff know your facts.” Serge took another bite. “I’m getting a party in my mouth, but I can’t place all the guests.” “Chop up the hearts with some onion, add a beaten egg, lots of pepper and bacon fat,” said Jasper. “’Cept I just also add the bacon itself ’cuz life’s too short. Then some flour makes the patties.”"
"Highlight (Yellow)","Page 53","","She headed outside, where the evening air was filled with happy shouts, singing and gunfire."
"Highlight (Yellow)","Page 55","","I’d bet the farm that he’s already cleaned her out.” “But if that’s true, why is he still there?” “Why not? If he doesn’t have much drive in life, he’s living there free in a spare bedroom, cashing her Social Security check each month, and propping his feet up on empty cases of Mallomars.” “And military benefits from her late husband, Homer,” said Lou Ellen. “Plus I’m sure her life insurance policy has a new beneficiary,”"
"Highlight (Yellow)","Page 55","","“Wish it weren’t true, but this is such a common scam in Florida that the authorities have trouble keeping up,”"
