"Your Kindle Notes For:",,,
"CRUX (THE NEXUS TRILOGY BOOK 2)",,,
"by Ramez Naam",,,
"Free Kindle instant preview:",,,
"http://a.co/jaZZG8b",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 175","","You can’t do this! What gives you the right? I made this, Kade told the man. That gives me the right."
"Highlight (Yellow)","Location 374","","Ling could see the lights of the city out that window, now, the twenty-story-tall female face on the skyscraper across the street, winking and smiling, advertising some product for the humans to consume. The world inside her felt more real."
"Highlight (Yellow)","Location 379","","A new bounty on her friend Kade’s head, announced by the Americans."
"Highlight (Yellow)","Location 457","","Then she began to meditate. She started with anapana, the meditation of the breath, then worked to vipassana, meditation of awareness of the body. Her mind stilled, she turned at last to the three thousand year-old practice called metta, the meditation of loving-kindness."
"Highlight (Yellow)","Location 551","","Software beings, all of them. Digital representation of brains. Like her. What mattered was pattern, not substrate. A physical brain was an information processor and nothing more. A mind was the information being processed, not the physical brain that did the processing. A digital brain, with digital neurons and digital synapses and digital signals passing through it, could process that information just the same, could give rise to a mind just as well. Provided, of course, that the underlying model of neurons and synapses and all the rest of the brain was accurate."
"Highlight (Yellow)","Location 563","","Her imminent body-death had forced Chen and Thanom to try the one thing that might save her mind: uploading her, using the technology they three had been building. The perfect team – Thanom Prat-Nung, the Thai nano-engineer with his molecular devices that could scan a brain at nanometer scale; her brilliant husband Chen with his quantum computing cluster powerful enough to simulate a human brain; and her, the neuroscientist with the mathematical model to run that uploaded brain."
"Highlight (Yellow)","Location 571","","And miracle of miracles, it worked. Her burned, broken, ruined body died, but the pattern of her brain, the precise wiring of her hundred billion neurons and the hundred trillion synaptic connections between them, was captured, simulated, and run. She awoke as software running on the massive cluster beneath Jiao Tong University. She was angry, grieving, but alive. More alive and more aware than ever."
"Highlight (Yellow)","Location 694","","techniques for stilling and guiding their own minds through meditation, for sinking into that egoless state where their minds, bridged by Nexus, could become one."
"Highlight (Yellow)","Location 697","","He’d seen beautiful things in those months, in Cambodia and across the net. The mentally and emotionally scarred, healing. Patients in comas being touched and restored to consciousness. Scientists tapping into each other’s perspectives, making breakthroughs they never could have alone. Artists creating new forms that they didn’t even have names for, that immersed you in experiences unlike any other."
"Highlight (Yellow)","Location 700","","And union. Minds coming together. Walls dropping. Consciousness spanning bodies. Group minds, self-assembled, voluntary, greater than the sum of their parts…"
"Highlight (Yellow)","Location 710","","“Hey, Kade,” Feng called from up ahead. “What did Confucius say about man who runs in front of car?” Kade smiled and shook his head, brushing away more foliage from his face. “I don’t know, Feng. What?” “He gets tired!” Feng roared. “Get it? Tired?”"
"Highlight (Yellow)","Location 725","","“Hey Kade,” he called from up ahead. “You know what Confucius said about the man who runs behind a car?” Kade laughed, struggling to keep up. “What, Feng?” “He gets exhausted!” Feng sang out. “Exhausted!”"
"Highlight (Yellow)","Location 731","","The monks greeted them as heroes, Kade as a holy man. He did his best to deflect their adoration, laugh with them, diffuse the power imbalance as always. I’m just like you, he tried to show them. Just another novice."
"Highlight (Yellow)","Location 739","","It was the logical direction of human evolution. Humanity had achieved what it had not through strength or claws or armor, not even through individual human intelligence, as impressive as that was. No, it was the ability of humans to coordinate, to work together, to produce ideas and solutions collectively that no individual mind ever could, that truly set them apart. Nexus was just one more step in that direction. And for the monks, it was more than that. In their view, Nexus was a spiritual tool. It helped tear down the illusion of separateness. It helped pierce the veil of maya. It helped these monks, all part of the same conscious universe, forget the lie that they were separate, the broken distinction of one person ending before the next began. By linking their minds it helped them remember that they were, in fact, all one."
"Highlight (Yellow)","Location 773","","Every one of these plants would be illegal in Europe, she thought. Most of them illegal back in the US. How strange to live in a place where this technology was so normal, so essential, even. Rich countries had the luxury to ban biotechnologies. Poor countries depended on them."
