"Your Kindle Notes For:",,,
"DEATH'S END (REMEMBRANCE OF EARTH'S PAST)",,,
"by Cixin Liu, Ken Liu",,,
"Free Kindle instant preview:",,,
"http://a.co/cJV3bqV",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Page 19","","He had already forgotten about the witch. Unlike his father, Manuel II, and elder brother, John VIII, Constantine was practical and understood that those who put all their faith in miracles tended to meet with untimely ends."
"Highlight (Yellow)","Page 21","","Her ancestor, a man from the village, had answered their call and sailed across the Mediterranean to fight for God in the Holy Land. He had risen through the ranks and become a Templar Knight. Later, he had come to Constantinople and met a beautiful woman, a holy warrior; they had fallen in love and given birth to this glorious family.… Later, when she was older, she had found out the truth. The basic frame of the story was true: Her ancestor had indeed been a member of the Children’s Crusade."
"Highlight (Yellow)","Page 21","","The Byzantine Empire had been hoping for the elite troops of Christendom to fight off the infidels. Instead, they received an army of frail women as poor as beggars. The Byzantine court refused to supply these “holy warriors,” and the women knights became prostitutes. For more than a hundred years, Helena’s “glorious” family had barely eked out a living. By her father’s time, the family’s poverty had grown even more acute. A hungry Helena picked up the trade practiced by her own illustrious ancestor, but when her father found out, he had beaten her, telling her that he would kill her if he ever caught her again … unless she took her clients back home so that he could negotiate a better price and keep the money “for her.”"
"Highlight (Yellow)","Page 26","","The age of magic began at four o’clock on the afternoon of May 3, 1453, when the high-dimensional fragment first intersected with the Earth. It ended at nine o’clock on the evening of May 28, 1453, when the fragment left the Earth behind. After twenty-five days and five hours, the world returned to its normal orbit. On the evening of May 29, Constantinople fell."
"Highlight (Yellow)","Page 27","","Once, ancient Romans had whistled in their grand, magnificent baths, thinking that their empire, like the granite that made up the walls of the pools in which they floated, would last forever. No banquet was eternal. Everything had an end. Everything."
"Highlight (Yellow)","Page 28","","Contrary to usual practice, the ring for the collider wasn’t an underground tunnel, but enclosed within an aboveground concrete tube. The facility looked like a giant full stop mark in the setting sun.1 What sentence does it end? Hopefully only the end of physics. Once, Yang Dong had held a basic belief: Life and the world were perhaps ugly, but at the limits of the micro and macro scales, everything was harmonious and beautiful. The world of our everyday life was only froth floating on the perfect ocean of deep reality. But now, it appeared that the everyday world was a beautiful shell: The micro realities it enclosed and the macro realities that enclosed it were far more ugly and chaotic than the shell itself. Too frightening."
"Highlight (Yellow)","Page 28","","Like many elderly people, Yang’s mother wasn’t familiar with the details of the web and her own computer, so she had only deleted the decrypted documents instead of digitally shredding them. She didn’t realize that even if she had reformatted the hard drive, the data would still have been easily recoverable."
"Highlight (Yellow)","Page 29","","But between the end of physics and her mother’s secret, Yang had lost two such half lives, which added up to a whole life. What did she have left? Yang Dong leaned against the banister and stared at the abyss beneath her, terrified as well as enticed."
"Highlight (Yellow)","Page 30","","“But the physical parameters governing the existence of life are utterly unforgiving. Take liquid water as an example: It can exist only within a narrow range of temperatures. Viewing the universe as a whole, this becomes even more apparent: If the parameters of the big bang had been different by even one million billionth, we would have no heavy elements and thus no life. Isn’t this clear evidence for intelligent design?”"
"Highlight (Yellow)","Page 31","","“What are we looking at?” Yang Dong asked. “Earth. Without life, this is what the surface of the planet would look like now.” “But … where are the oceans?” “There are no oceans. No rivers either. The entire surface is dry.” “You’re saying that without life, liquid water would not exist on Earth?” “The reality would probably be even more shocking. Remember, this is only a coarse simulation, but at least you can see how much of an impact life had in the present state of the Earth.” “But—” “Do you think life is nothing but a fragile, thin, soft shell clinging to the surface of this planet?” “Isn’t it?” “Only if you neglect the power of time. If a colony of ants continue to move clods the size of grains of rice, they could remove all of Mount Tai in a billion years. As long as you give it enough time, life is stronger than metal and stone, more powerful than typhoons and volcanoes.”"
