"Your Kindle Notes For:",,,
"ELON MUSK: TESLA, SPACEX, AND THE QUEST FOR A FANTASTIC FUTURE",,,
"by Ashlee Vance",,,
"Free Kindle instant preview:",,,
"http://a.co/3wHFc1d",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 343","","To my great surprise, Musk cut me off after a couple of minutes and simply said, “Okay.” One thing that Musk holds in the highest regard is resolve, and he respects people who continue on after being told no. Dozens of other journalists had asked him to help with a book before, but I’d been the only annoying asshole who continued on after Musk’s initial rejection, and he seemed to like that."
"Highlight (Yellow)","Location 359","","Turning humans into space colonizers is his stated life’s purpose. “I would like to die thinking that humanity has a bright future,” he said. “If we can solve sustainable energy and be well on our way to becoming a multiplanetary species with a self-sustaining civilization on another planet—to cope with a worst-case scenario happening and extinguishing human consciousness—then,” and here he paused for a moment, “I think that would be really good.”"
"Highlight (Yellow)","Location 365","","Musk’s ready willingness to tackle impossible things has turned him into a deity in Silicon Valley, where fellow CEOs like Page speak of him in reverential awe, and budding entrepreneurs strive “to be like Elon” just as they had been striving in years past to mimic Steve Jobs."
"Highlight (Yellow)","Location 395","","Musk had built an honest-to-God rocket factory in the middle of Los Angeles."
"Highlight (Yellow)","Location 467","","“The best minds of my generation are thinking about how to make people click ads,” Jeff Hammerbacher, an early Facebook engineer, told me. “That sucks.”"
"Highlight (Yellow)","Location 505","","The space business requires dealing with a mess of politics, back-scratching, and protectionism that undermines the fundamentals of capitalism. Steve Jobs faced similar forces when he went up against the recording industry to bring the iPod and iTunes to market. The crotchety Luddites in the music industry were a pleasure to deal with compared to Musk’s foes who build weapons and countries for a living."
"Highlight (Yellow)","Location 508","","SpaceX has been testing reusable rockets that can carry payloads to space and land back on Earth, on their launchpads, with precision. If the company can perfect this technology, it will deal a devastating blow to all of its competitors and almost assuredly push some mainstays of the rocket industry out of business while establishing the United States as the world leader for taking cargo and humans to space. It’s a threat that Musk figures has earned him plenty of fierce enemies. “The list of people that would not mind if I was gone is growing,” Musk said. “My family fears that the Russians will assassinate me.”"
"Highlight (Yellow)","Location 512","","With Tesla Motors, Musk has tried to revamp the way cars are manufactured and sold, while building out a worldwide fuel distribution network at the same time. Instead of hybrids, which in Musk lingo are suboptimal compromises, Tesla strives to make all-electric cars that people lust after and that push the limits of technology. Tesla does not sell these cars through dealers; it sells them on the Web and in Apple-like galleries located in high-end shopping centers. Tesla also does not anticipate making lots of money from servicing its vehicles, since electric cars do not require the oil changes and other maintenance procedures of traditional cars. The direct sales model embraced by Tesla stands as a major affront to car dealers used to haggling with their customers and making their profits from exorbitant maintenance fees. Tesla’s recharging stations now run alongside many of the major highways in the United States, Europe, and Asia and can add hundreds of miles of oomph back to a car in about twenty minutes. These so-called supercharging stations are solar-powered, and Tesla owners pay nothing to refuel. While much of America’s infrastructure decays, Musk is building a futuristic end-to-end transportation system that would allow the United States to leapfrog the rest of the world. Musk’s vision, and, of late, execution seem to combine the best of Henry Ford and John D. Rockefeller."
"Highlight (Yellow)","Location 531","","When Musk sets unrealistic goals, verbally abuses employees, and works them to the bone, it’s understood to be—on some level—part of the Mars agenda. Some employees love him for this. Others loathe him but remain oddly loyal out of respect for his drive and mission. What Musk has developed that so many of the entrepreneurs in Silicon Valley lack is a meaningful worldview. He’s the possessed genius on the grandest quest anyone has ever concocted. He’s less a CEO chasing riches than a general marshaling troops to secure victory. Where Mark Zuckerberg wants to help you share baby photos, Musk wants to . . . well . . . save the human race from self-imposed or accidental annihilation. The life that Musk has created to manage all of these endeavors is preposterous. A typical week starts at his mansion in Bel Air. On Monday, he works the entire day at SpaceX. On Tuesday, he begins at SpaceX, then hops onto his jet and flies to Silicon Valley. He spends a couple of days working at Tesla, which has its offices in Palo Alto and factory in Fremont. Musk does not own a home in Northern California and ends up staying at the luxe Rosewood hotel or at friends’ houses. To arrange the stays with friends, Musk’s assistant will send an e-mail asking, “Room for one?” and if the friend says, “Yes,” Musk turns up at the door late at night. Most often he stays in a guest room, but he’s also been known to crash on the couch after winding down with some video games. Then it’s back to Los Angeles and SpaceX on Thursday. He shares custody of his five young boys—twins and triplets—with his ex-wife, Justine, and has them four days a week. Each year, Musk tabulates the amount of flight time he endures per week to help him get a sense of just how out of hand things are getting. Asked how he survives this schedule, Musk said, “I had a tough childhood, so maybe that was helpful.”"
"Highlight (Yellow)","Location 554","","“I think the time allocated to the businesses and the kids is going fine,” Musk said. “I would like to allocate more time to dating, though. I need to find a girlfriend. That’s why I need to carve out just a little more time. I think maybe even another five to ten—how much time does a woman want a week? Maybe ten hours? That’s kind of the minimum? I don’t know.”"
"Highlight (Yellow)","Location 596","","Musk has taken industries like aerospace and automotive that America seemed to have given up on and recast them as something new and fantastic. At the heart of this transformation are Musk’s skills as a software maker and his ability to apply them to machines. He’s merged atoms and bits in ways that few people thought possible, and the results have been spectacular."
