"Your Kindle Notes For:",,,
"EXTRATERRESTRIAL: THE FIRST SIGN OF INTELLIGENT LIFE BEYOND EARTH",,,
"by Avi Loeb",,,
"Free Kindle instant preview:",,,
"https://a.co/cDESwjU",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 45","","it has recently been surmised that forty-thousand-year-old cave paintings throughout Europe show that our distant ancestors tracked the stars. From poets to philosophers, theologians to scientists, we have found in the universe provocations for awe, action, and the advancement of civilization."
"Highlight (Yellow)","Location 47","","the nascent field of astronomy, after all, that was the impetus for the scientific revolution of Nicolaus Copernicus, Galileo Galilei, and Isaac Newton that removed the Earth from the center of the physical universe. These scientists were not the first to advocate for a more self-deprecating view of our world, but unlike the philosophers and theologians who preceded them, they relied on a method of evidence-backed hypotheses that ever since has been the touchstone of human civilization’s advancement."
"Highlight (Yellow)","Location 52","","At the time of this writing, I serve as chair of Harvard University’s Department of Astronomy, founding director of Harvard’s Black Hole Initiative, director of the Institute for Theory and Computation within the Harvard-Smithsonian Center for Astrophysics, chair of the Breakthrough Starshot Initiative, chair of the Board on Physics and Astronomy of the National Academies, a member of the advisory board for the digital platform Einstein: Visualize the Impossible from the Hebrew University of Jerusalem, and a member of the President’s Council of Advisors on Science and Technology in Washington, DC. It is my good fortune to work alongside many exceptionally talented scholars and students as we consider some of the universe’s most profound questions."
"Highlight (Yellow)","Location 60","","Throughout the expanse of space and over the lifetime of the universe, are there now or have there ever been other sentient civilizations that, like ours, explored the stars and left evidence of their efforts? I believe that in 2017, evidence passed through our solar system that supports the hypothesis that the answer to the last question is yes."
"Highlight (Yellow)","Location 65","","Are we, both scientists and laypeople, ready? Is human civilization ready to confront what follows our accepting the plausible conclusion, arrived at through evidence-backed hypotheses, that terrestrial life isn’t unique and perhaps not even particularly impressive?"
"Highlight (Yellow)","Location 89","","The world will end, of course, and most decidedly with a bang; our Sun, now about 4.6 billion years old, will in about 7 billion years turn into an expanding red giant and end all life on Earth. This is not up for debate, nor is it an ethical matter."
"Highlight (Yellow)","Location 97","","What if an answer to “Are we alone?” presented itself, but it was subtle, fleeting, ambiguous? What if we needed to employ our powers of observation and deduction to their fullest extent in order to discern it?"
"Highlight (Yellow)","Location 100","","I consider the hypothesis that just such an answer was given to humanity on October 19, 2017."
"Highlight (Yellow)","Location 114","","What if, for instance, that evidence was inert or defunct technology—the equivalent, perhaps, of a billion-year-old civilization’s trash?"
"Highlight (Yellow)","Location 129","","as Galileo Galilei argued after looking through his telescope, evidence doesn’t care about approval."
