"Your Kindle Notes For:",,,
"GOD'S DEBRIS: A THOUGHT EXPERIMENT",,,
"by Scott Adams",,,
"Free Kindle instant preview:",,,
"http://amzn.to/2cUCuVU",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Page 29","","“Maybe the reason we respect other religions is that they all have a core set of beliefs in common. They only differ in the details.” “Jews and Muslims believe that Christ isn’t the Son of God,” he countered. “If they are right, then Christians are mistaken about the core of their religion. And if the Jews or the Christians or the Muslims have the right religion, then the Hindus and Buddhists who believe in reincarnation are wrong. Would you call those details?”"
"Highlight (Yellow)","Page 32","","“You can’t judge the value of a thing by looking only at costs. In many countries, more people die from hospital errors than religious wars, but no one accuses hospitals of being evil. Religious people are happier, they live longer, have fewer accidents, and stay out of trouble compared to nonreligious people. From society’s viewpoint, religion works.”"
"Highlight (Yellow)","Page 34","","“The human brain is a delusion generator. The delusions are fueled by arrogance—the"
"Highlight (Yellow)","Page 42","","“I can conceive of only one challenge for an omnipotent being—the challenge of destroying himself.”"
"Highlight (Yellow)","Page 43","","“If God knows the future, he already knows if he will choose to end his existence, and he knows if he will succeed at it, so there’s no challenge there, either.” “Your thinking is getting clearer,” he said. “Yes, he will know the future of his own existence under normal conditions. But would his omnipotence include knowing what happens after he loses his omnipotence, or would his knowledge of the future end at that point?”"
"Highlight (Yellow)","Page 43","","But a God who had one nagging question—what happens if I cease to exist?—might be motivated to find the answer in order to complete his knowledge. And having no fear and no reason to continue existing, he might try it.” “How would we know either way?” “We have the answer. It is our existence. The fact that we exist is proof that God is motivated to act in some way. And since only the challenge of self-destruction could interest an omnipotent God, it stands to reason that we . . .”"
"Highlight (Yellow)","Page 44","","“We are God’s debris.”"
"Highlight (Yellow)","Page 45","","Matter is uniform. Those are the bits of God.” “What’s the second part of the debris?” I asked. “Probability.”"
"Highlight (Yellow)","Page 48","","“Whether you understand the true nature of your food or not, you still have to eat. And in my example it makes little difference if you don’t know a carrot from a potato. We can only act on our perceptions, no matter how faulty. The best we can do is to periodically adjust our perceptions—our delusions, if you will—to make them more consistent with our logic and common sense.”"
"Highlight (Yellow)","Page 51","","But both make specific things happen. DNA runs on a tighter schedule than probability, but in the long run—the extreme long run—probability is just as fixed and certain in its outcome. Probability forces the coin toss to be exactly fifty-fifty at some point, assuming you keep flipping forever. Likewise, probability forced us to exist exactly as we are. Only the timing was in question.”"
"Highlight (Yellow)","Page 52","","the instinct of humans is to build communication systems.”"
"Highlight (Yellow)","Page 52","","Rationality can’t explain our obsession with the Internet. The need to build the Internet comes from something inside us, something programmed, something we can’t resist.”"
"Highlight (Yellow)","Page 53","","“Humanity is developing a sort of global eyesight as millions of video cameras on satellites, desktops, and street corners are connected to the Internet. In your lifetime it will be possible to see almost anything on the planet from any computer. And society’s intelligence is merging over the Internet, creating, in effect, a global mind that can do vastly more than any individual mind. Eventually everything that is known by one person will be available to all. A decision can be made by the collective mind of humanity and instantly communicated to the body of society."
"Highlight (Yellow)","Page 53","","A billion years from now, if a visitor from another dimension observed humanity, he might perceive it to be one large entity with a consciousness and purpose, and not a collection of relatively uninteresting individuals.”"
"Highlight (Yellow)","Page 53","","“I’m saying we’re the building blocks of God, in the early stages of reassembling.”"
"Highlight (Yellow)","Page 54","","“So, you’re saying God blew himself to bits—I guess that was the Big Bang—and now he’s piecing himself back together?”"
"Highlight (Yellow)","Page 54","","“Does God have consciousness yet? Does he know he’s reassembling himself?” “He does. Otherwise you could not have asked the question, and I could not have answered.”"
"Highlight (Yellow)","Page 86","","“Light is analogous to the horizon. It is a boundary that gives the illusion of being a physical thing. Like the horizon, it appears to move away from you at a constant speed no matter how fast you are moving. We observe things that we believe are light, like the searchlight in the night sky, the cloud-red sunset. But those things are not light; they are merely boundaries between different probabilities."
"Highlight (Yellow)","Page 91","","these are curious bees. When they don’t understand something, they become unsettled and unhappy. In the long run the bees would have to choose between permanent curiosity—an uncomfortable mental state—and delusion. The bees don’t like those choices. They would prefer to know the true color of the church’s interior and its purpose, but bee brains are not designed for that level of understanding. They must choose from what is possible, either discomfort or self-deception. The bees that choose discomfort will be unpleasant to be around and they will be ostracized. The bees that choose self-deception will band together to reinforce their vision of a red-based interior or yellow-based interior and so on.”"
"Highlight (Yellow)","Page 107","","Humans are only capable of receiving information. They create their own advice. If you seek to influence someone, don’t waste time giving advice. You can change only what people know, not what they do.”"
"Highlight (Yellow)","Page 108","","Find out what you and he have in common, then ask how he likes it, how he deals with it, and if he has any clever solutions for it. Perhaps"
"Highlight (Yellow)","Page 109","","Two people have different information, but they think the root of their disagreement is that the other person has bad judgment or bad manners or bad values. In fact, most people would share your opinions if they had the same information. If you spend your time arguing about the faultiness of other people’s opinions, you waste your time and theirs. The only thing than can be useful is examining the differences in your assumptions and adding to each other’s information."
"Highlight (Yellow)","Page 110","","“Women believe that men are, in a sense, defective versions of women,” he began. “Men believe that women are defective versions of men. Both genders are trapped in a delusion that their personal viewpoints are universal. That viewpoint—that each gender is a defective version of the other—is the root of all misunderstandings.”"
"Highlight (Yellow)","Page 112","","“A woman needs to be told that you would sacrifice anything for her. A man needs to be told he is being useful. When the man or woman strays from that formula, the other loses trust. When trust is lost, communication falls apart.”"
"Highlight (Yellow)","Page 113","","“You should lie about your talents and accomplishments, describing your victories in dismissive terms as if they were the result of luck. And you should exaggerate your flaws.”"
"Highlight (Yellow)","Page 113","","“Honesty is like food. Both are necessary, but too much of either creates discomfort."
"Highlight (Yellow)","Page 113","","rarest resource: time. It is a way of conveying respect. Conversation reminds us that we are part of a greater whole, connected in some way that transcends duty or bloodline or commerce. Conversation can be many things, but it can never be useless.”"
"Highlight (Yellow)","Page 114","","Express gratitude. Give more than is expected. Speak optimistically. Touch people. Remember names. Don’t confuse flexibility with weakness. Don’t judge people by their mistakes; rather, judge them by how they respond to their mistakes. Remember that your physical appearance is for the benefit of others. Attend to your own basic needs first; otherwise you will not be useful to anyone else."
"Highlight (Yellow)","Page 124","","first level of awareness at birth. That is when you first become aware that you exist."
"Highlight (Yellow)","Page 124","","second level of awareness you understand that other people exist. You"
"Highlight (Yellow)","Page 124","","third level of awareness you recognize that humans are often wrong about the things they believe. You feel that you might be wrong about some of your own beliefs but you don’t know which ones. Despite your doubts, you still find comfort in your beliefs."
"Highlight (Yellow)","Page 125","","fourth level is skepticism. You believe the scientific method is the best measure of what is true and you believe you have a good working grasp of truth, thanks to science, your logic, and your senses. You are arrogant when it comes to dealing with people in levels two and three."
"Highlight (Yellow)","Page 125","","fifth level of awareness is the Avatar. The Avatar understands that the mind is an illusion generator, not a window to reality. The Avatar recognizes science as a belief system, albeit a useful one. An Avatar is aware of God’s power as expressed in probability and the inevitable recombination of God consciousness."
"Highlight (Yellow)","Page 127","","“Ideas are the only things that can change the world. The rest is details.”"
