"Your Kindle Notes For:",,,
"IDEA MAN: A MEMOIR BY THE COFOUNDER OF MICROSOFT",,,
"by Paul Allen",,,
"Free Kindle instant preview:",,,
"http://a.co/90KRJKO",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 64","","Over grinders or a pepperoni pie at the Harvard House of Pizza, we fantasized about our entrepreneurial future. One time I asked Bill, “If everything went right, how big do you think our company could be?” He said, “I think we could get it up to thirty-five programmers.” That sounded really ambitious to me."
"Highlight (Yellow)","Location 67","","In 1965, in a journal called Electronics, a young research physicist named Gordon Moore made that prediction specific. He asserted that the maximum number of transistors in an integrated circuit would double each year without raising the chip’s cost. After cofounding Intel in 1968, Moore amended the rate of doubling to once every two years—still dramatic. Similar trends soon emerged in computer processing speed and disk storage capacity. It was a simple but profound observation that holds true to this day. Because of continual advances in chip technology, computers will keep getting markedly faster and cheaper. The momentum of Moore’s law became more evident in 1969, a few months after I’d met Bill."
"Highlight (Yellow)","Location 92","","My really big ideas have all begun with a stage-setting development—in this case, the evolution of Intel’s early microprocessor chips. Then I ask a few basic questions: Where is the leading edge of discovery headed? What should exist but doesn’t yet? How can I create something to help meet the need, and who might be enlisted to join the crusade? Whenever I’ve had a moment of insight, it has come from combining two or more elements to galvanize a new technology and bring breakthrough applications to a potentially vast audience. A few months after the 8008 was announced, one of those brain waves came to me. What if a microprocessor could run a high-level language, the essential tool for programming a general-purpose computer?"
"Highlight (Yellow)","Location 105","","Bill and I had already found a groove together. I was the idea man, the one who’d conceive of things out of whole cloth. Bill listened and challenged me, and then homed in on my best ideas to help make them a reality. Our collaboration had a natural tension, but mostly it worked productively and well."
"Highlight (Yellow)","Location 216","","I was given an oversize picture book with everything a four-year-old could want to know about steam shovels, tractors, backhoes, and fire engines. I read that book every day. Seeing my interest, my mother had a friend give me a tutorial on steam engines. It wasn’t very technical, but I got my first inkling about the gears and belts and all the other hidden things that make a machine come alive. That book opened a new world to me. Soon I was pleading for one on gasoline engines. Later I progressed to steam turbines and eventually to atomic power plants and rocket engines. I’d pore over each volume, not getting all the details but grasping enough to satisfy me. On some elemental level, the magical became logical. I began to understand how these things worked."
"Highlight (Yellow)","Location 235","","Each morning she would send me into the world with a paraphrase of the Spartan mothers’ farewell to their sons marching off to war: “Go forth bearing your shield!” I walked out the door a little straighter when I heard that."
"Highlight (Yellow)","Location 277","","“When you grow up and have a job, do something you love. Whatever you do, you should love it.” He’d repeat this to me over the years with conviction. Later I’d figure out what he meant: Do as I say, not as I’ve done. Much later, my mother told me that my father had wrestled with his career choice. He suspected he might be happier coaching football than managing libraries, but he finally chose the safe and practical route, a nine-to-five life under fluorescent lights. Lots of men from his generation did the same. But he wanted me to choose better."
"Highlight (Yellow)","Location 281","","THE OFFICIAL GOAL of the 1962 Seattle World’s Fair was to inspire young people to pursue careers in science. The unofficial goal was to show that the United States had caught up to the Soviet Union in technology and the space race. But for me, a nine-year-old who’d just discovered science fiction, the Century 21 Exposition (as it was officially titled) revolved around my favorite thing: the future. It was like waking up to find my most outlandish ideas made real, just four miles from my house."
"Highlight (Yellow)","Location 297","","my first Belgian waffle, which seemed like the most exotic and delicious thing I’d ever eaten. You can catch a close-up of that waffle in an Elvis Presley movie called It Happened at the World’s Fair: an oversize, crispy square slathered with whipped cream and topped with sliced strawberries and powdered sugar."
"Highlight (Yellow)","Location 314","","Midway through the meal, we heard a strange noise, somewhere between a wheeze and a choking rasp. What was that? Back to our food and talk, we heard it again, louder this time, clearly coming from downstairs. I trailed behind Dad, who pushed open the basement door. There was Jett, quivering at the top of the stairs. At the bottom it looked like a foggy morning on the Okefenokee, with two feet of yellow-green chlorine gas blanketing the floor. Jett had made the smart move to get as far as possible from the toxic fumes. As my father raised the basement windows to clear out the gas, he said, “You’ve got to be more careful with your experiments, Paul.” But I also heard what he didn’t say: He never told me to stop. In the Allen household, children were treated like grown-ups. Our parents encouraged us at whatever we tried, and exposed us to Bach and jazz and flamenco, but it was more than that. They respected us as individuals who needed to find our own place in the world."
