"Your Kindle Notes For:",,,
"LETTERS FROM AN ASTROPHYSICIST",,,
"by Neil deGrasse Tyson",,,
"Free Kindle instant preview:",,,
"https://a.co/algAUkA",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 138","","Hope"
"Highlight (Yellow)","Location 152","","yes, the universe wants to kill us. But on the other hand, we all want to live. So let’s find a way together to deflect the asteroids, find the cure to the next lethal virus, mitigate hurricanes, tsunamis, volcanoes, etc. This can only be enabled by the efforts of a scientifically and technologically literate public. Therein lies a hope on Earth far greater than ever promised by the act of prayer or introspection."
"Note","Location 154","","On hope and optimism..."
"Highlight (Yellow)","Location 172","","people who fail in life are those whose ambitions were insufficient to overcome all the forces that work against them. And yes, failure is common to us all. But ambitious people use their failures as lessons to heed, as they push forward toward their goals. Don’t fear change. Don’t fear failure. The only thing to fear is loss of ambition. But if you’ve got plenty of that, then you have nothing to fear at all. Good luck on your journey, as I offer you the opening quote in my memoir, The Sky Is Not the Limit* Beyond the judgments of others Rising high above the sky Lies the power of ambition All the best, on Earth and in the universe. Neil"
"Note","Location 175","","On fear..."
"Highlight (Yellow)","Location 227","","IQ correlates nicely with GPA in high school and college, but after your first job, nobody ever asks what your college GPA was. What matters are your people skills, leadership skills, real-world problem solving skills, integrity, business acumen, reliability, ambition, work ethic, kindness, compassion, etc. So for me, conversations about race and IQ are of no practical consequence, any more than are conversations about race and hair color, or race and food preferences."
"Note","Location 227","","On IQ..."
"Highlight (Yellow)","Location 260","","when money is the sole carrot, people can lose sight of life’s deeper sources of happiness. Until you major in physics or astrophysics in college (taking all the attendant math courses) you will not know for sure what you’re better at—academics or sports."
"Highlight (Yellow)","Location 276","","the expectation that everyone else in our culturally pluralistic land should hold exactly your own outlook, on all issues."
"Highlight (Yellow)","Location 278","","When empowered by this state of mind, objective realities matter. These are the truths of the world that exist outside of whatever your belief system tells you."
"Note","Location 279","","Scientifically literate "
"Highlight (Yellow)","Location 293","","The Carl Sagan dictum “extraordinary claims require extraordinary evidence” remains a potent guide when investigating the natural world for its underlying order. But it comes with a recurring risk: knowing enough about a subject to think you are right, but not enough about the subject to know you are wrong."
"Highlight (Yellow)","Location 302","","the weight of the evidence is incommensurate with the strength of the claims."
"Highlight (Yellow)","Location 329","","“cover-up” or “conspiracy” is the battle cry of people who want to believe, in the face of insufficient data to fully support their claims."
"Highlight (Yellow)","Location 333","","Once you confess to not knowing what you are looking at, no logical line of reasoning allows you to then declare that you know what you are looking at. And that includes assertions that the flying shapes “must be” intelligent, technologically advanced aliens from distant planets secretly observing the behavior of Earthlings. You simply bear insufficient evidence to make that jump, however tempting it may be. A similar argument from ignorance comes from the Big Bang. When I am asked what was around before the Big Bang, I say, “We do not yet know.” Often the reply is, “It must be something—it was surely God.” To go from “We don’t know” to “It must be God” is another example of an argument from ignorance. This kind of disconnect has no place in rational investigations, yet it perennially permeates the thoughts and statements of people who already know what they want to believe."
"Highlight (Yellow)","Location 345","","The day real evidence comes forth, you will not need congressional hearings parading high-ranking eyewitnesses on the subject. Until any of that happens, UFO sightings of category (4) are simply intriguing unidentified lights and shapes in the sky—perhaps worthy of further study like any mystery in science—but without conspiracy theorists invoking cover-ups to bridge all gaps in the data, convincing themselves of what they are already sure is true."
"Highlight (Yellow)","Location 395","","the end of what Mayan scholars call the “long count,” begun on August 11, 3113 BC, the beginning of the universe according to Mayan calculations. At the end of the long count, they imagined the end of the universe. With regard to the beginning of the universe, they were off by at least 13 billion years. So there’s no reason to think they will get the end correct. None of them mention the year 2012. And all the doomsday comet predictions via Nostradamus apply to the year 2000. Of course, none of those apocalyptic predictions came true."
"Highlight (Yellow)","Location 404","","the current Gregorian calendar used worldwide is accurate to a day in about 44,000 years. No other calendar comes close to this."
"Highlight (Yellow)","Location 417","","As for ancient civilizations, if you wish to go back 5,000 years to cite behavior you wish to emulate, then consider some other baggage that comes with it—the worship of cats, the divinity of the Pharaohs, the obsession with expensive, overbuilt, triangular tombstones. And while we are at it, why not include the Aztecs? Time to rip the pulsing heart out of virgins to appease the gods. Or time to eat the flesh of those you conquer, to make you stronger. And to complete the scene, why not die of disease and pestilence before you turn 40? Like so many other attributes, astrology was not an achievement of these civilizations, it was a cultural liability. Keeping it real, Neil deGrasse Tyson"
"Highlight (Yellow)","Location 436","","“What can be more palpably absurd than the prospect held out of locomotives traveling twice as fast as stage-coaches?” —The Quarterly Review, 1825 “Men might as well project a voyage to the moon as attempt to employ steam navigation against the stormy north Atlantic Ocean.” —Astronomer Dionysius Lardner, 1838 “Man will not fly for 50 years.” —Wilbur Wright to his brother Orville, 1901"
"Highlight (Yellow)","Location 444","","these quotes, in the end, are about perceived limits to our technology and not the laws of physics themselves,"
"Highlight (Yellow)","Location 461","","the laws of gravity are there and work every time, no matter who is doing the experiment, no matter what apparatus you use to measure it, and they work whether or not you choose to believe in them."
"Highlight (Yellow)","Location 464","","ghosts, apparitions, spirits, etc. None of these claims survive laboratory scrutiny. They all simply go away under controlled circumstances."
"Highlight (Yellow)","Location 505","","In the era of “modern” experimental science, which is basically traceable from Galileo and Sir Francis Bacon# onward (the past 400 years), there is tested science that has achieved consensus and there is frontier science. The frontier science changes monthly, if not weekly, awaiting good enough data to resolve the controversies. The tested science, that for which consensus of observations and experiment has emerged, does not change. What can, and often does, happen is that new ideas extend the range of previously tested ideas, but it does not undo them."
"Highlight (Yellow)","Location 571","","the claims are useless to the research scientist. FYI: “useless” is not the same word as “false.” Until somebody produces biological tissue (even big-foot poop would be a start) from which DNA can be extracted, there is not much a biologist can do with the claims. If you feel confident that there are eight-foot, undocumented, prehistoric apes running around the Pacific Northwest, you should mount expeditions to find them—you don’t have to kill it; just capture one. Your efforts will be better spent in search of useful evidence than in trying to convince people of what you think is true in the absence of it."
"Highlight (Yellow)","Location 651","","wait, there’s more . . . How about the fact that the entire universe is composed of just 92 elements? Or that there are only four fundamental forces of nature? (strong, weak, electromagnetic, gravity) Or that there are only four classes of fundamental particles? (quarks, electrons, neutrinos, and photons) Or that nearly all behavior of electromagnetic waves (light) can be derived from a set of four equations that all fit on a Post-it® note? So you can be awed by the complexities manifest the world, or you can instead be astonished at how simple it all is."
"Highlight (Yellow)","Location 661","","One of the great challenges of cosmic discovery, and discovery in general, is knowing the difference between when things look the same and when they are the same."
