"Your Kindle Notes For:",,,
"ROBOGENESIS: A NOVEL (VINTAGE CONTEMPORARIES)",,,
"by Daniel H. Wilson",,,
"Free Kindle instant preview:",,,
"https://a.co/54ZtIAP",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Page 4","","In its last days, the thinking machine known as Archos R-14 was trying to know humanity. It mastered the art of capturing a human mind. When it died, it left behind the tools. I found stories trapped in patterns of neurons."
"Highlight (Yellow)","Page 12","","“Hello?” I ask, watching a flicker of radio communication intertwine with her light. Whoa. I think she just taught me to speak. “Where did you come from?” “I am the might of Manchuria. A spirit. No longer alive and not yet reborn.”"
"Highlight (Yellow)","Page 14","","Gray Horse Army does not fire. The war is over, after all. I imagine we are just another one of the odd atrocities left behind in this new world. Not enemies, not yet."
"Highlight (Yellow)","Page 23","","The way she said what she did that night, so earnest, put goose pimples on my ribs. It still does. What she told me was that the time she saw the spooklight, people started acting funny. Walking toward it, circling around. Saying strange things to it, she said. And some people thought it was saying strange things back. That night my mama took me by the arm and she told me something extra. Don’t pray to it, she said, and the back of my neck went cold. I already told you to run away if you see it, boy. But I know your mind and you’ll stay and watch. That’s fine. It’s in your nature to disobey, Hank. But in the name of the Lord, promise me that you won’t ever get down on your knees and pray to it."
"Highlight (Yellow)","Page 25","","Lark Iron Cloud is still swaying out there in the moonlight with his dead buddies. That vile zombie is in The Hero Archive and I’m not. That unnatural freak who ought to be put down is considered a damned hero. The only mention of me is as a big dummy fighting with Lonnie. Heroes, huh? Bunch of damn heroes. The anger knots into my muscles, tightens my jaw and shoulders."
"Highlight (Yellow)","Page 27","","I look away and sneak a little grin to myself. These people have no idea what was out there in the woods. The treasure that I found and that is mine, all mine. But my secret smile disappears fast when I see him. Lark. Standing a little ways off, quiet and still. Turning in place to face me as I pass by."
"Highlight (Yellow)","Page 28","","3. MAXIM Post New War: 1 Month, 13 Days"
"Highlight (Yellow)","Page 28","","His beard crawls up his pale face nearly to his eyes, dark brown orbs swimming with a fear that cannot be drowned in vodka."
"Highlight (Yellow)","Page 29","","You see, our friend who lives down below is useless if we cannot talk to him. Yet he must be kept very carefully. Our deep friend must be watched over always. And that is our weakness. The stacks were built to be safe from men. Not from machines. Even a vent borehole could be large enough for the avtomat. The crawling types, the ones that wriggle through flesh. They could have the potential to move through the wiring itself. Perhaps a patient one could make its own tunnel through solid rock. Some of them are very patient."
"Highlight (Yellow)","Page 30","","Leonid reluctantly removes his glove and places his shivering hand in a cavity next to the door. A flash of red as the laser scanner examines his fingerprints. And, of course, it checks to make sure there is warm blood in his veins."
"Highlight (Yellow)","Page 30","","I put a firm hand on his bony shoulder. Push him lightly against the wall. Offer him a little grin—a skim of confidence over the dread growing in my heart. “Calm and steady, Leonid,” I say. “Who knows, maybe the war is really over? Maybe the Americans did it.” From my pocket I produce a flask. Twist off the lid and press the shining stainless steel into Leonid’s fingers. His hand knows how to respond. The flask goes to his mouth, where it trembles at his lips like a hummingbird. The alcohol reminds his body that he is a man."
"Highlight (Yellow)","Page 33","","Stooped over, I curl my fingers under the heavy metal rolling door and pause. I do not know what has happened on the other side. What the hell, I think. My pistol is on my hip and my balls are between my legs. So I lift."
"Highlight (Yellow)","Page 34","","“Maxim? Are you here?” I call. Our scientists used to like to wax poetic about Maxim, especially after a few draughts of vodka. Our friend is mathematical beauty incarnate, they’d say. Living proof of humankind’s intellectual triumph. To put it in scale, they said, his very existence is equivalent to a civilization that has carved the Himalayan mountains by hand. Maxim is our son and our father."
"Highlight (Yellow)","Page 34","","When the day of blood arrived and the avtomat war began, all the automated equipment of the wastes returned. So much automation for the energy industry—drilling and boring and survey machines. Remote legged core samplers raced back into the city and murdered citizens by the hundreds. Automobiles, tractors, and even whole drill platforms turned an evil gaze onto our people."
"Highlight (Yellow)","Page 35","","With my ax and my snarl, I convinced Maxim the way you would convince any animal. By the strength of my two arms, I forced my will onto the mind of a god. Faced with its own death, Maxim communicated battle instructions to our nearby armed forces. Following Maxim’s strategic direction, we carved a niche of safety out of the chaos. And this is how a janitor saved a city. With an ax. The tool is still leaning against the wall, just in front of a security camera. A reminder to Maxim that we all have duties. In war, everyone must contribute to the welfare of the people—if they expect to live."
"Highlight (Yellow)","Page 38","","“What am I?” he asks, frowning in concentration. “That’s a complicated question. But for now, you may call me Archos R-14.”"
"Highlight (Yellow)","Page 39","","NEURONAL ID: LARK IRON CLOUD Living folks don’t see the dead. Maybe it’s because they don’t want to or maybe they can’t stand to imagine that we’re each of us aware and thinking inside. Either way, the living don’t see us."
"Highlight (Yellow)","Page 40","","Lonnie stepped in and acted like a father. Told me not to mistake being a gangster for being a warrior. He showed me how to become a man instead of just an adult."
"Highlight (Yellow)","Page 41","","“The other spirits are afraid,” says Chen. “They believe the villagers of Gray Horse will punish us.” I might have had the same thought. “It’ll be fine. It’s a nice place with nice people,” I transmit. “We fought and they’ll respect that. Don’t be afraid.” “I am not afraid,” she transmits back. “We must accept punishment for our sins before we can move on to meet our ancestors. We will all be judged.”"
"Highlight (Yellow)","Page 42","","fear is what tells me to keep a close eye on the round man, Hank Cotton. For better or worse, the fear is why I learn his secret."
"Highlight (Yellow)","Page 47","","Outside the small city of Anadyr, a previously unknown artificial intelligence was buried in a mine, tended to by a maintenance man named Vasily Zaytsev. Under his care, the sentient machine was treated like an animal and exploited for its tactical contributions to keeping the local human population safe. After the seismic disturbance, however, the machine called Maxim found that it had a new friend—an unwelcome guest who was not about to leave. —ARAYT SHAH NEURONAL ID: VASILY ZAYTSEV"
"Highlight (Yellow)","Page 54","","“So, you are him?” Maxim looks at his hands and chuckles. I blink, surprised. I never knew it could do that. Never knew he could laugh. “I have asked myself that question trillions of times,” he says. “This man’s life formed the bulk of my training corpus. He gave me a basis for understanding humanity. An inside perspective. But his life is only one part of my whole. I was trained on encyclopedias and United Nations transcripts and hundreds of thousands of hours of tapped phone calls. But … his memories are with me. His childhood in Russia. Family. Everything.” “You do not even know what you are.” The image of Maxim shrugs and it is so natural that I must remind myself his voice is coming from speakers overhead. “It’s not so important, I think,” he says. “There is no way to prove an answer. Maybe I am this man or maybe I am not. But in my heart … I think yes. I believe that I am him.” “How do you know?” “Because, Vasily, I miss the pelmini this man’s mother used to cook. I miss holding his baby daughter. Every night of my life, I dream this man’s dreams.”"
"Highlight (Yellow)","Page 54","","Damn those thin-lipped brains up above. Damn them to hell for putting a man inside this box. “Budem zdorovy,” I say, lifting my hand. “To family.” “Budem,” he replies, nodding. “To those we lost.” His drinking hand reflexively lifts and I know now without question that this man once lived. Maxim has the soul of a countryman, like myself. Here before me is a hard man, abused, but he is a man who chose to give his life for his family. “Wow,” says Archos R-14, “Russians.”"
"Highlight (Yellow)","Page 55","","“What of you, then?” I ask. “Were you once a boy?” “Oh no,” says Archos. “That’s a uniquely Russian approach to seeding a training corpus. Very down and dirty. What with the murdering involved. My corpus was a noisy knowledge base of so-called common sense, collected painstakingly over several decades from human data-entry specialists. It was the bootstrapping process that created my intellect. Finding the connections between the things, you know. I just love to find the connections.” “Then you know nothing of life as a human being.” “Not firsthand,” says the boy. “But I’ve got the gist.” “You are a simpleminded murderer,” I say. The boy leaps off the rack and lands before me. His eyes are pale and flashing and I think I see infinity in them. Blank-faced, he speaks low and fast, advancing. “I have prodded the heart of the supermassive black hole at the center of our galaxy. Contemplated in every nuance the heat death of the universe. You’re interesting. But you’re not that interesting.”"
