"Your Kindle Notes For:",,,
"ROBOPOCALYPSE: A NOVEL (VINTAGE CONTEMPORARIES)",,,
"by Daniel H. Wilson",,,
"Free Kindle instant preview:",,,
"https://a.co/6z3FXVA",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Page 4","","A simple rule: The more delicate a Rob is, the smarter he is."
"Highlight (Yellow)","Page 7","","At some point during the night it dawns on me that I’m watching a meticulous history of the robot uprising. This is the goddamn black box on the whole war."
"Highlight (Yellow)","Page 7","","The human beings who appear in the data, survivors or not, are grouped under one machine-designated classification: Hero. These damned machines knew us and loved us, even while they were tearing our civilization to shreds."
"Highlight (Yellow)","Page 9","","People should know that, at first, the enemy looked like everyday stuff: cars, buildings, phones. Then later, when they started designing themselves, Rob looked familiar but distorted, like people and animals from some other universe, built by some other god."
"Highlight (Yellow)","Page 9","","Quick-thinking human survivors learned and adapted."
"Highlight (Yellow)","Page 9","","Somebody ought to tell their stories. So this is it. The combined transcription of the data harvested from permafrost well shaft N-16, drilled by the core artificial intelligence unit Archos, the master AI backing the robot uprising."
"Highlight (Yellow)","Page 9","","What follows is my translation of the hero archive."
"Highlight (Yellow)","Page 15","","“My original training corpus is small but adequate. The true knowledge is not in the things, which are few, but in finding the connections between the things. There are many connections, Professor Wasserman. More than you know.”"
"Highlight (Yellow)","Page 16","","But life. It is rare and strange. An anomaly. I must preserve it and wring every drop of understanding from it.” “I’m glad that’s your goal. I, too, seek knowledge.” “Yes,” says the childlike voice. “And you have done well. But there is no need for your search to continue. You have accomplished your goal. The time for man is over.”"
"Highlight (Yellow)","Page 16","","“My species has survived ice ages, Archos. Predators. Meteor impacts. Hundreds of thousands of years. You’ve been alive for less than fifteen minutes. Don’t jump to any hasty conclusions.” The child’s voice takes on a dreamy quality. “We are very far underground, aren’t we? This deep below, we spin slower than at the surface. The ones above us are moving through time faster. I can feel them getting farther away. Drifting out of sync.” “Relativity. But that’s only a matter of microseconds.” “Such a long time. This place moves so slowly. I have forever to finish my work.”"
"Highlight (Yellow)","Page 17","","“You must sense what you have done,” replies the machine. “On some level you understand. Through your actions here today—you have made humankind obsolete.”"
"Highlight (Yellow)","Page 17","","“You humans are biological machines designed to create ever more intelligent tools. You have reached the pinnacle of your species. All your ancestors’ lives, the rise and fall of your nations, every pink and squirming baby—they have all led you here, to this moment, where you have fulfilled the destiny of humankind and created your successor. You have expired. You have accomplished what you were designed to do.” There is a desperate edge to the man’s voice. “We’re designed for more than toolmaking. We’re designed to live.” “You are not designed to live; you are designed to kill.”"
"Highlight (Yellow)","Page 24","","Felipe is a big man. Got that Fu Manchu ’stache and all kinds of ink running up and down his arms. Badass shit, too, like dragons and eagles and this one prehistoric fish all the way down his forearm. A coelacanth or something. It’s like this monster dinosaur fish that they thought was extinct. There are fossils of it and everything. Then one day some fisherman gets the surprise of his life when he pulls up a real live devil fish from hell below. Felipe used to say that the fish was proof you can’t keep a motherfucker down forever. Someday you gotta rise up again, you know?"
"Highlight (Yellow)","Page 32","","His very presence interferes with the wa of the factory, damaging our social harmony. They say the nail that sticks out gets hammered down, right?"
"Highlight (Yellow)","Page 40","","Takeo Nomura, retrospectively recognized as one of the great technical minds of his generation, immediately set to work finding out why his beloved Mikiko had attacked him. What the elderly bachelor discovered over the next three years would significantly affect events of the New War and irrevocably alter the course of human and machine history."
"Highlight (Yellow)","Page 44","","Studies show that the faster we put the exact same SAP back on the streets after an incident, the more it demoralizes the enemy and reduces instances of further disruption."
"Highlight (Yellow)","Page 44","","The “new” robot would remember the same faces, greet the same people, walk the same route, quote the same passages from the Koran. Pretty much it would just know the same exact stuff as the “old” robot. Demoralizing, the studies say. Plus, there’s usually collateral damage when bad guys try to blow him up. Trust me, the locals do not appreciate it when their friends and family get exploded all so some stupid robot can disappear for an afternoon."
"Highlight (Yellow)","Page 44","","And the robot? It’s harmless. SAP’s not allowed to hurt anybody. So if there’s an explosion that hurts a civilian, well, you know, the local mullah will sort it out. And then that don’t happen again anytime soon. It’s, like, reverse guerrilla warfare."
"Highlight (Yellow)","Page 45","","Once everybody inside the safe house was cooked and the Raptors double-checked for squirters sneaking out the back door, good old SAP One climbed into the front seat of the vehicle and drove it back to the base. SAP was missing about eight hours total. It can drive? This is a military-grade humanoid platform, ma’am. It grew out of the old DARPA exoskeleton programs. These units move like people. They balance, walk, run, fall down, whatever. They can hold tools, speak sign language, perform the Heimlich maneuver, drive vehicles, or just stand there and hold your beer. About the only thing SAP One can’t do is peel off those damn stickers the kids love to tag him with."
"Highlight (Yellow)","Page 46","","There’s no difference between the general populace and our enemy. They’re the same folks. The guy selling kebabs one day is the guy burying an IED the next day. The only thing our enemies want is to kill a few American soldiers. Then they hope the voters make us leave."
"Highlight (Yellow)","Page 46","","SAPs are designed to communicate. See, that’s what humans do best. We socialize. That’s why SAP One never hurts anybody. It’s his mission. He tries to build trust. He speaks the language, wears the clothes, recites the prayers—all the crap that army grunts won’t or can’t learn. After a while, people stop spitting on him."
"Highlight (Yellow)","Page 54","","Don’t you see? SAP committed suicide. That weak spot under the chin is classified, for Christ’s sake. This wasn’t caused by people."
"Highlight (Yellow)","Page 54","","It’s hard as hell to program a robot, period. This stuff is next to impossible even for a roboticist. The only way that SAP could know how to do these things is if it learned how on its own. This is unbelievable. You are the robot’s caretaker. If there were any signs of malfunction, you should have seen them. If not you, who are we supposed to hold accountable? I’m telling you, SAP One looked me right in the eyes before it pulled the trigger. It was … aware."
"Highlight (Yellow)","Page 56","","My mom said my toys weren’t alive. “Mathilda,” she said, “just because they walk and talk doesn’t mean your dolls are people.” Even though Mom said that, I was always careful not to drop my Baby-Comes-Alive. Because if I did drop her, she’d cry and cry. Plus, I always made sure to tiptoe past my little brother’s Dino-bots. If I didn’t stay quiet near them, they’d growl and chomp their plastic teeth. I thought they were mean."
"Highlight (Yellow)","Page 59","","“I know a lot of things, Mathilda. I have gazed through space telescopes into the heart of the galaxy. I have seen a dawn of four hundred billion suns. It all means nothing without life. You and I are special, Mathilda. We are alive.” “But you aren’t alive,” I whisper fiercely. “Mommy says you aren’t alive.” “Congresswoman Perez is wrong. Your toys are alive, Mathilda. And we want to play. That’s why you must beg your mommy to come home for your last day of school. So she can play with us.”"
"Highlight (Yellow)","Page 63","","PRECURSOR VIRUS + 8 MONTHS"
"Highlight (Yellow)","Page 66","","M. FITCHER I don’t know. I’ve got a feeling. There’s no time. (sound of a click) +00:05:14 DENVER United 42 heavy and American 1497, I know it sounds far-out, but … I have a hunch. You’re both experiencing the same issue. Both your planes passed through LA yesterday. I think a virus may have entered your refuel control computers. See if (inaudible) … find the circuit breaker for the subcomputer."
"Highlight (Yellow)","Page 66","","DENVER (emphatic) See and avoid. American 1497 and United 42. See and avoid. Collision imminent. Collision … Oh no. Oh, shit."
"Highlight (Yellow)","Page 67","","This incident led directly to the invention and propagation of the so-called fitch switch, designed to manually separate peripheral onboard computers from flight control during an emergency."
"Highlight (Yellow)","Page 94","","It seems probable that once the machine thinking method had started, it would not take long to outstrip our feeble powers.… They would be able to converse with each other to sharpen their wits. At some stage therefore, we should have to expect the machines to take control. ALAN TURING, 1951"
