"Your Kindle Notes For:",,,
"SCAM ME IF YOU CAN: SIMPLE STRATEGIES TO OUTSMART TODAY'S RIP-OFF ARTISTS",,,
"by Frank W.  Abagnale",,,
"Free Kindle instant preview:",,,
"https://a.co/cA1OBrh",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 161","","Law enforcement experts say there is a discernible link between meth addiction and ID theft."
"Highlight (Yellow)","Location 169","","Experts say the effects of fraud on individuals are similar to the psychological aftermath experienced by victims of violent crimes and war, ranging from anxiety to emotional volatility, depression to post-traumatic stress disorder (PTSD)."
"Highlight (Yellow)","Location 197","","I became a con artist in 1964, at the age of sixteen, and continued until I was caught and brought to justice in 1969, when I was just twenty-one. In those intervening years, even though I was very young, I was able to don a variety of professional disguises and professions, including airline pilot, doctor, lawyer, sociology professor, FBI agent, and Federal Bureau of Prisons agent. This is the story depicted in my 1980 book Catch Me If You Can, which in 2002 became a Steven Spielberg film of the same name, featuring Leonardo DiCaprio as me. (If you watch closely, you’ll see me make an appearance as a French cop!) I traveled the world, cashing more than $2.5 million in forged checks, and as a result I financed a lifestyle that included bespoke suits, luxury cars, and world travel. I dated beautiful women. It was thrilling. First I assumed the identity of a Pan Am copilot."
"Highlight (Yellow)","Location 205","","I was tall, which made me appear older, nicely dressed, and very polite. I knew that certain kinds of people were more apt to come under my spell than others. Pretty young women, older people, and those who felt I represented authority were all good targets. Young women because, well . . . I liked them and they liked me. Older people were always impressed with a well-spoken and courteous young man. And all sorts of people—airline and airport staff, people in banks and other institutions—respected someone in a pilot’s uniform."
"Highlight (Yellow)","Location 221","","I’ve now been a security and anti-fraud consultant for more than forty-three years. I have a consulting company, Abagnale & Associates. My fraud prevention programs are used by more than fourteen thousand financial institutions, corporations, and law enforcement agencies. I’ve met and talked to thousands of everyday people who have been harmed by scams—from small business owners to CEOs, from students to retirees, and everyone in between, people of all ages and from all backgrounds, around the world—hearing their stories and offering advice. This has allowed me to cover a wide variety of scams, investigate where they come from, and find ways to fight back against this worldwide scourge."
"Highlight (Yellow)","Location 227","","My goal with Scam Me If You Can is to arm as many people as I can with the information and tools you need to put a shield between you and the scammers."
"Highlight (Yellow)","Location 229","","It’s such important information to have on hand, because we are living in a unique time. At no other point in history has it been easier to be a con artist—or to be victimized by one. In the past decade, technology has completely transformed the landscape of scams, making them quicker, more global, more anonymous, and more interconnected than ever before."
"Highlight (Yellow)","Location 235","","The good news is that fraud is preventable. Vigilance is your weapon, and it is always at your disposal."
"Highlight (Yellow)","Location 250","","Active in more sales situations: Victims tend to be more engaged in the marketplace—whether that is the consumer marketplace (such as shopping or investing in the stock market) or the marketplace of ideas (social media). They are more likely to report attending sales presentations when offered a free meal or hotel stay in return; entering their name in drawings to win a prize; allowing salespeople into their homes to make a presentation; and opening and reading every piece of mail they receive—catalogs, advertising circulars, contests offerings, and promotional come-ons."
"Highlight (Yellow)","Location 255","","Slow to take preventative actions: Victims are less likely than the general population to report taking prevention measures"
