"Your Kindle Notes For:",,,
"SEVENEVES: A NOVEL",,,
"by Neal Stephenson",,,
"Free Kindle instant preview:",,,
"https://a.co/gmtwkPs",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 704","","a torus—a donut-shaped habitat about forty meters in diameter—was constructed and made to spin like a merry-go-round, creating a small amount of simulated gravity."
"Highlight (Yellow)","Location 777","","overwhelming majority of people called him Doc Dubois now, because he was on TV a lot, and that was how the talk show hosts and the network anchormen introduced him. His job on TV was to explain science to the general public and, as such, to act as a lightning rod for people who could not accept all the things that science implied about their worldview and their way of life, and who showed a kind of harebrained ingenuity in finding ways to refute it."
"Highlight (Yellow)","Location 789","","being Doc Dubois, the affable science popularizer of television and of four million Twitter followers. Doc Dubois knew how to size up his audience. He knew that self-made tech zillionaires liked to argue, that Pasadena aristocracy didn’t, and that society wives liked to be lectured to, as long as the lectures were brief and funny. And he knew that his job was to charm these people, nothing more, so that they could later be handed off to professional fund-raisers. He was going back to the bar for another glass of the pinot noir,"
"Highlight (Yellow)","Location 827","","When the meeting began at A+0.0.4 (zero years, zero days, and four hours since the Agent had acted upon the moon),"
"Highlight (Yellow)","Location 831","","“Primordial singularity”"
"Highlight (Yellow)","Location 837","","“A small black hole.” “Why ‘primordial’?” “Most black holes are formed when stars collapse,” Ivy said. “But there’s a theory that some of them were created shortly after the Big Bang. The universe was lumpy. Some of the lumps might have been dense enough to undergo gravitational collapse. They could form black holes that instead of weighing what a star weighs could be a lot smaller.” “How small?” “I don’t think there’s a lower limit. But the point is that one of them could zip through space invisibly and punch all the way through a planet and out the other side. There"
"Highlight (Yellow)","Location 849","","Like a bullet through an apple.”"
"Highlight (Yellow)","Location 894","","Uppity Little Shitkicker was a name that had been hung on Dinah when she had first arrived at private school and, during a soccer scrimmage, intercepted a pass meant for a girl from New York. Straight Arrow Bitch had been bestowed on Ivy at Annapolis when she had declined to take part in a drinking game during a tailgate party. The ULS/SAB dynamic was a thing that Dinah and Ivy exploited in meetings,"
"Highlight (Yellow)","Location 949","","Because making observations calmed people down. The moon had broken up into seven large pieces, which inevitably became known as the Seven Sisters, and an uncountable number of smaller ones. Gradually the big ones acquired names. Doc Dubois was responsible for many of these. He gave them descriptive names that wouldn’t scare people. It wouldn’t do to call them Nemesis or Thor or Grond. So instead it was Potatohead, Mr. Spinny, Acorn, Peach Pit, Scoop, Big Boy, and Kidney Bean. Doc Dubois would point those out and then draw attention to the way they moved. This was governed entirely by Newtonian mechanics. Each piece of the moon attracted every other piece more or less strongly depending on its mass and its distance. It could be simulated on a computer quite easily. The whole rubble cloud was gravitationally bound."
"Highlight (Yellow)","Location 956","","loose huddle of rocks. Sometimes they banged into one another. Eventually they would stick together and the moon would begin to re-form. Or at least that was the theory until the star party that they threw in the middle of the Caltech campus at A+0.7.0, exactly one week after the event."
"Highlight (Yellow)","Location 1003","","“WE NEED TO STOP ASKING OURSELVES WHAT HAPPENED AND START talking about what is going to happen,” Dr. Harris said to the president of the United States, her science advisor, the chairman of the Joint Chiefs of Staff, and about half of the Cabinet."
"Highlight (Yellow)","Location 1014","","The slide was a montage of a snowball rolling down a hill, a fuzzy bacterial culture growing in a petri dish, a mushroom cloud, and other seemingly unrelated phenomena. “What do these all have in common? They are exponential,” he said. “The word gets tossed around a lot by people who use it to mean anything that’s getting big fast. But it has a specific mathematical meaning. It means any process where the more it happens, the more it happens. The population explosion. A nuclear chain reaction. A snowball rolling down a hill, whose speed of growth is pegged to how much it’s grown.” He clicked through another slide showing plots of exponential curves on a graph, then to an image of the moon’s eight pieces. “When the moon had only one piece, the probability of a collision was zero,” he said."
"Highlight (Yellow)","Location 1033","","“It could be that a hundred years will pass before we go from eight chunks to nine chunks,” Doob said, nodding at him, “but four days ago I got worried that it might be one of those things that looks more like an explosion. So my grad students and I have been crunching some numbers. Building a mathematical model of the process that we can use to get a handle on the time scale.” “And what are your results, Dr. Harris? I assume you have some, or else you wouldn’t be here.” “The good news is that the Earth is one day going to have a beautiful system of rings, just like Saturn. The bad news is that it’s going to be messy.”"
"Highlight (Yellow)","Location 1057","","“A day or two after the White Sky event will begin a thing I am calling the Hard Rain. Because not all of those rocks are going to stay up there. Some of them are going to fall into the Earth’s atmosphere.” He turned the projector off. This was an unusual move, but it snapped them all out of PowerPoint hypnosis and forced them to look at him. The aides in the back of the room were still thumbing their phones, but they didn’t matter. “By ‘some,’” Doob said, “I mean trillions.” The room remained silent. “It is going to be a meteorite bombardment such as the Earth has not seen since the primordial age, when the solar system was formed,” Doob said. “Those fiery trails we’ve been seeing in the sky lately, as the meteorites come in and burn up? There will be so many of those that they will merge into a dome of fire that will set aflame anything that can see it. The entire surface of the Earth is going to be sterilized. Glaciers will boil. The only way to survive is to get away from the atmosphere. Go underground, or go into space.”"
"Highlight (Yellow)","Location 1068","","“We will have to do both,” the president said. “Go into space, and underground. Obviously the latter is easier.” “Yes.” “We can get to work building underground bunkers for . . .” and she caught herself before saying something impolitic. “For people to take refuge in.”"
"Highlight (Yellow)","Location 1072","","The chairman of the Joint Chiefs of Staff said, “Dr. Harris, I’m an old logistics guy. I deal in stuff. How much stuff do we need to get underground? How many sacks of potatoes and rolls of toilet paper per occupant? I guess what I’m asking is, just how long is the Hard Rain going to last?” Doob said, “My best estimate is that it will last somewhere between five thousand and ten thousand years.”"
"Highlight (Yellow)","Location 1076","","“NONE OF YOU WILL EVER STAND ON TERRA FIRMA, TOUCH YOUR loved ones, or breathe the atmosphere of your mother planet again,” the president said. “That is a terrible fate. And yet it is a better fate than seven billion people trapped on the Earth’s surface can hope for. The last ship home has sailed. From now on, launch vehicles will rise up into orbit, but they will not go back for ten thousand years.” The twelve men and women in the Banana sat in silence. Like the destruction of the moon itself, it was too big a thing for them to take in, too large for human emotion to get around."
"Highlight (Yellow)","Location 1090","","“We have signals intelligence suggesting that the Chinese figured it out a day before we did,” the president said, “and the British, the Indians, the French, Germans, Russians, Japanese—all of their scientists are coming to more or less the same conclusions.” “Two years?” Dinah piped up. Her voice was hoarse, broken. Everyone looked at her. “Until the White Sky?” “People seem to be converging on that figure, yeah,” Dr. Harris said. “Twenty-five months, plus or minus two.”"
"Highlight (Yellow)","Location 1099","","“We are beginning to talk to our counterparts in other spacefaring nations about creating an ark,” the president said. “A repository of the entire genetic heritage of the Earth. We have two years to build it. Two years to get as many people and as much equipment as we can into orbit. The nucleus of that ark is going to be Izzy.”"
"Highlight (Yellow)","Location 1103","","Things had to be humanized, to be given cute names. All the terrified kids down there who knew they were going to die would have to watch upbeat videos about how Izzy was going to carry the legacy of the dead planet through the Hard Rain. They would take out their crayons and draw cartoon pictures of Izzy with a torus halo and a big rock on her ass and a little anthropomorphic smiley face on the side of the Zvezda Service Module."
"Highlight (Yellow)","Location 1228","","she saw the head and arm of a single cosmonaut, whom she vaguely recognized as Maxim Koshelev. He was embedded in a nearly solid mass of vitamins. “Vitamins” was a term of art used by spaceflight geeks to mean any small, lightweight stuff of extraordinary value. Microchips, medicine, spare parts, ukuleles, biological samples, soap, and food all fell under the general heading of “vitamins.”"
"Highlight (Yellow)","Location 1249","","So, both Bolor-Erdene and Maxim had ridden in the orbital module, which was unprecedented; humans were supposed to ride only in the reentry module aft of it. It would have been indiscreet to point this out, but those two, by riding up front, had signed up for a one-way journey that could have turned into a suicide mission had anything gone wrong. The orbital module was jettisoned during the reentry process, and burned up in the atmosphere. Only the passengers in the reentry module could even theoretically make it back alive."
"Highlight (Yellow)","Location 1345","","Buckyball seems to be using a similar trick.” “You nailed the name. We do in fact call those Buckies. Technically speaking, it’s a thing called a—” “Tensegrity.”"
"Highlight (Yellow)","Location 1355","","“I’m not a normal engineer. I’ve been doing biomimetics—which is what you are doing—for"
"Highlight (Yellow)","Location 1382","","If the task had fallen to Dubois Jerome Xavier Harris, Ph.D., he would have said something like this: Look, everybody dies. Of the seven billion people now living on Earth, basically all will be dead a hundred years from now—most a lot sooner. No one wants to die, but most calmly accept that it’s going to happen. A person who died two years from now in the Hard Rain would be no deader than someone who died seventeen years from now in a car crash. The only thing that had changed now was that everyone knew the approximate time and manner of their death. And knowing that, they could make preparations. Some of those were internal: making your peace with your God."
"Highlight (Yellow)","Location 1475","","Special machines would be sent up on the Cloud Ark, machines that could take those digital records and turn them back into functioning DNA and embed them in living cells, so that giraffes and sequoias and whales could be reconstituted from raw elements at some point down the road, perhaps thousands of years in the future."
"Highlight (Yellow)","Location 1504","","“We ask every village, town, city, and district to perform a Casting of Lots and to choose two young persons, a boy and a girl, as candidates for training and inclusion in the crew of the Cloud Ark. We do not seek to impose any rules or procedures upon how the selection is made. Our objective is to preserve, as best we can, the genetic and the cultural diversity of the human race."
"Highlight (Yellow)","Location 1508","","The statement was subtly self-contradictory. Clarence was saying that they were not going to impose any rules. But they had already done so by insisting that there had to be both a boy and a girl. They knew perfectly well that many cultures would have trouble with that."
"Highlight (Yellow)","Location 1567","","Research on the long-term effects of spaceflight suggested that women were less susceptible to radiation damage than men. They were smaller on average, requiring less space, less food, less air. And sociological studies pointed to the idea that they did better when crammed together in tight spaces for long periods of time."
"Highlight (Yellow)","Location 1569","","This was controversial, as it got into fraught topics of nature vs. nurture and whether gender identity was a social construct or a genetic program. But if you bought into the idea that boys had been programmed by Darwinian selection to run around in the open chucking spears at wild animals—something that every parent who had ever raised a boy had to take seriously—then it was difficult to envision a lot of them spending their lives in tin cans."
