"Your Kindle Notes For:",,,
"THE BOYS IN THE BOAT: NINE AMERICANS AND THEIR EPIC QUEST FOR GOLD AT THE 1936 BERLIN OLYMPICS",,,
"by Daniel James Brown",,,
"Free Kindle instant preview:",,,
"http://amzn.to/2cDgyup",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Page 2","","But it wasn’t until he began to talk about his rowing career at the University of Washington that he started, from time to time, to cry. He talked about learning the art of rowing, about shells and oars, about tactics and technique. He reminisced about long, cold hours on the water under steel-gray skies, about smashing victories and defeats narrowly averted, about traveling to Germany and marching under Hitler’s eyes into the Olympic Stadium in Berlin, and about his crewmates. None of these recollections brought him to tears, though. It was when he tried to talk about “the boat” that his words began to falter and tears welled up in his bright eyes."
"Highlight (Yellow)","Page 2","","Finally, watching Joe struggle for composure over and over, I realized that “the boat” was something more than just the shell or its crew. To Joe, it encompassed but transcended both—it was something mysterious and almost beyond definition. It was a shared experience—a singular thing that had unfolded in a golden sliver of time long gone, when nine good-hearted young men strove together, pulled together as one, gave everything they had for one another, bound together forever by pride and respect and love. Joe was crying, at least in part, for the loss of that vanished moment but much more, I think, for the sheer beauty of it."
"Highlight (Yellow)","Page 4","","I shook Joe’s hand again and told him I would like to come back and talk to him some more, and that I’d like to write a book about his rowing days. Joe grasped my hand again and said he’d like that, but then his voice broke once more and he admonished me gently, “But not just about me. It has to be about the boat.”"
"Highlight (Yellow)","Page 7","","the unseen values of rowing—the social, moral, and spiritual values of this oldest of chronicled sports in the world. No didactic teaching will place these values in a young man’s soul. He has to get them by his own observation and lessons."
"Highlight (Yellow)","Page 11","","Some of the young men sucked lazily on briar pipes, and the sweet smell of Prince Albert tobacco smoke drifted among them. Others dangled cigarettes from their lips, and as they paged through the day’s Seattle Post-Intelligencer they could take satisfaction in a half-page ad that trumpeted the latest proof of the health benefits of smoking: “21 of 23 Giants World’s Champions Smoke Camels. It Takes Healthy Nerves to Win the World Series.”"
"Highlight (Yellow)","Page 23","","The trick would be to find which few of them had the potential for raw power, the nearly superhuman stamina, the indomitable willpower, and the intellectual capacity necessary to master the details of technique. And which of them, coupled improbably with all those other qualities, had the most important one: the ability to disregard his own ambitions, to throw his ego over the gunwales, to leave it swirling in the wake of his shell, and to pull, not just for himself, not just for glory, but for the other boys in the boat."
"Highlight (Yellow)","Page 32","","Being in motion, outdoors, with wind in his face made him feel alive—it brushed away the anxiety that since his mother’s death had seemed to be nibbling continuously at the corners of his mind."
"Highlight (Yellow)","Page 37","","If you simply kept your eyes open, it seemed, you just might find something valuable in the most unlikely of places. The trick was to recognize a good thing when you saw it, no matter how odd or worthless it might at first appear, no matter who else might just walk away and leave it behind."
"Highlight (Yellow)","Page 39","","When you row, the major muscles in your arms, legs, and back—particularly the quadriceps, triceps, biceps, deltoids, latissimus dorsi, abdominals, hamstrings, and gluteal muscles—do most of the grunt work, propelling the boat forward against the unrelenting resistance of water and wind. At the same time, scores of smaller muscles in the neck, wrists, hands, and even feet continually fine-tune your efforts, holding the body in constant equipoise in order to maintain the exquisite balance necessary to keep a twenty-four-inch-wide vessel—roughly the width of a man’s waist—on an even keel. The result of all this muscular effort, on both the larger scale and the smaller, is that your body burns calories and consumes oxygen at a rate that is unmatched in almost any other human endeavor. Physiologists, in fact, have calculated that rowing a two-thousand-meter race—the Olympic standard—takes the same physiological toll as playing two basketball games back-to-back. And it exacts that toll in about six minutes."
"Highlight (Blue)","Page 40","","The common denominator in all these conditions—whether in the lungs,"
