"Your Kindle Notes For:",,,
"THE SINGULARITY IS NEAR: WHEN HUMANS TRANSCEND BIOLOGY",,,
"by Ray Kurzweil",,,
"Free Kindle instant preview:",,,
"http://a.co/52pcnmu",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 252","","“many paths to the truth.”"
"Highlight (Yellow)","Location 254","","basic truths were profound enough to transcend apparent contradictions."
"Highlight (Yellow)","Location 279","","Even though I was quite familiar with every line of code, it nonetheless seemed as if the computer were deep in thought when the lights dimmed for several seconds at the denouement of each such cycle. Indeed, it could do flawlessly in ten seconds what took us ten hours to do manually with far less accuracy. As an inventor in the 1970s, I came to realize that my inventions needed to make sense in terms of the enabling technologies and market forces that would exist when the inventions were introduced, as that world would be a very different one from the one in which they were conceived."
"Highlight (Yellow)","Location 315","","In my teen years, I replaced my parlor magic with technology projects. I discovered that unlike mere tricks, technology does not lose its transcendent power when its secrets are revealed. I am often reminded of Arthur C. Clarke’s third law, that “any sufficiently advanced technology is indistinguishable from magic.”"
"Highlight (Yellow)","Location 339","","the destiny of the human-machine civilization, a destiny we have come to refer to as the Singularity."
"Highlight (Yellow)","Location 356","","and I still cannot say that I am entirely comfortable with all of its consequences."
"Highlight (Yellow)","Location 364","","the last seven doublings were sufficient to extend the pads’ coverage to the entire lake. (Seven doublings extended their reach 128-fold.) This is the nature of exponential growth. Consider Gary Kasparov, who scorned the pathetic state of computer chess in 1992. Yet the relentless doubling of computer power every year enabled a computer to defeat him only five years later.2"
"Highlight (Yellow)","Location 377","","our thinking is extremely slow: the basic neural transactions are several million times slower than contemporary electronic circuits. That makes our physiological bandwidth for processing new information extremely limited compared to the exponential growth of the overall human knowledge base."
"Highlight (Yellow)","Location 386","","beginning to reach the “knee of the curve,” which is the stage at which an exponential trend becomes noticeable."
"Highlight (Yellow)","Location 399","","When the first transhuman intelligence is created and launches itself into recursive self-improvement, a fundamental discontinuity is likely to occur, the likes of which I can’t even begin to predict. —MICHAEL ANISSIMOV"
"Highlight (Yellow)","Location 420","","in the twenty-first century; we will witness on the order of twenty thousand years of progress (again, when measured by today’s rate of progress), or about one thousand times greater than what was achieved in the twentieth century."
"Highlight (Yellow)","Location 472","","nanotechnology-based manufacturing devices in the 2020s will be capable of creating almost any physical product from inexpensive raw materials and information."
"Highlight (Yellow)","Location 477","","Six Epochs First we build the tools, then they build us. —MARSHALL MCLUHAN The future ain’t what it used to be. —YOGI BERRA"
"Highlight (Yellow)","Location 482","","patterns of increasing order. I’ll discuss the concept of order in the next chapter; the emphasis in this section is on the concept of patterns."
"Highlight (Yellow)","Location 483","","Evolution works through indirection: each stage or epoch uses the information-processing methods of the previous epoch to create the next."
"Highlight (Orange)","Location 486","","Epoch One: Physics and Chemistry."
"Highlight (Orange)","Location 504","","Epoch Two: Biology and DNA."
"Highlight (Orange)","Location 508","","Epoch Three: Brains."
"Highlight (Yellow)","Location 512","","third epoch started with the ability of early animals to recognize patterns, which still accounts for the vast majority of the activity in our brains."
"Highlight (Orange)","Location 516","","Epoch Four: Technology."
"Highlight (Yellow)","Location 552","","mass adoption (meaning that they are used by a quarter of the population in advanced countries)"
"Highlight (Orange)","Location 553","","Epoch Five: The Merger of Human Technology with Human Intelligence."
"Highlight (Yellow)","Location 555","","The fifth epoch will enable our human-machine civilization to transcend the human brain’s limitations of a mere hundred trillion extremely slow connections.14 The Singularity"
"Highlight (Orange)","Location 559","","Epoch Six: The Universe Wakes Up."
"Highlight (Yellow)","Location 569","","This is the ultimate destiny of the Singularity and of the universe."
"Highlight (Yellow)","Location 625","","I emphasize the word “currently” because one of the salient implications of the Singularity will be a change in the nature of our ability to understand. We will become vastly smarter as we merge with our technology."
"Highlight (Yellow)","Location 632","","When scientists become a million times more intelligent and operate a million times faster, an hour would result in a century of progress (in today’s terms)."
"Highlight (Yellow)","Location 649","","We will have effective software models of human intelligence by the mid-2020s."
"Highlight (Yellow)","Location 650","","we can expect computers to pass the Turing test, indicating intelligence indistinguishable from that of biological humans, by the end of the 2020s.30"
"Highlight (Yellow)","Location 653","","of human intelligence include a formidable ability to recognize patterns."
"Highlight (Yellow)","Location 655","","Humans are also capable of learning new knowledge by applying insights and inferring principles from experience, including information gathered through language."
"Highlight (Yellow)","Location 658","","The traditional strengths of machine intelligence include the ability to remember billions of facts precisely and recall them instantly. • Another advantage of nonbiological intelligence is that once a skill is mastered by a machine, it can be performed repeatedly at high speed, at optimal accuracy, and without tiring. • Perhaps most important, machines can share their knowledge at extremely high speed,"
"Highlight (Yellow)","Location 662","","Nonbiological intelligence will be able to download skills and knowledge from other machines, eventually also from humans."
"Highlight (Yellow)","Location 663","","Machines will process and switch signals at close to the speed of light (about three hundred million meters per second), compared to about one hundred meters per second for the electrochemical signals used in biological mammalian brains.31"
"Highlight (Yellow)","Location 666","","Machines will have access via the Internet to all the knowledge"
"Highlight (Yellow)","Location 667","","Machines can pool their resources, intelligence, and memories."
"Highlight (Yellow)","Location 668","","join together to become one and then become separate again. Multiple machines can do both at the same time: become one and separate simultaneously. Humans call this falling in love,"
"Highlight (Yellow)","Location 706","","Nanobots will interact with biological neurons to vastly extend human experience by creating virtual reality from within the nervous system."
"Highlight (Yellow)","Location 708","","Billions of nanobots in the capillaries of the brain will also vastly extend human intelligence."
"Highlight (Yellow)","Location 710","","biological intelligence is effectively of fixed capacity. Thus, the nonbiological portion of our intelligence will ultimately predominate."
"Highlight (Yellow)","Location 712","","Nanobots will also enhance the environment by reversing pollution from earlier industrialization."
"Highlight (Yellow)","Location 713","","Nanobots called foglets that can manipulate image and sound waves will bring the morphing qualities of virtual reality to the real world."
"Highlight (Yellow)","Location 723","","In fact, other people (such as your romantic partner) will be able to select a different body for you than you might select for yourself (and vice versa)."
"Highlight (Yellow)","Location 738","","Most important, the intelligence that will emerge will continue to represent the human civilization, which is already a human-machine civilization. In other words, future machines will be human, even if they are not biological. This will be the next step in evolution,"
"Highlight (Yellow)","Location 822","","RAY: Still, you represent only a tiny fraction of the available matter and energy. Keeping you biological won’t appreciably change the order of magnitude of matter and energy available to the Singularity. It will be well worth it to maintain the biological heritage. GEORGE 2048: Absolutely. RAY: Just like today we seek to preserve the rain forest and the diversity of species."
"Highlight (Yellow)","Location 864","","Our sole responsibility is to produce something smarter than we are; any problems beyond that are not ours to solve"
"Highlight (Yellow)","Location 979","","Technology will be the metaphorical opposable thumb that enables our next step in evolution. Progress (further increases in order) will then be based on thinking processes that occur at the speed of light rather than in very slow electrochemical reactions. Each stage of evolution builds on the fruits of the last stage,"
"Highlight (Yellow)","Location 1012","","Indeed, the emergence of the first technology-creating species resulted in the new evolutionary process of technology, which makes technological evolution an outgrowth of—and a continuation of—biological evolution."
"Highlight (Yellow)","Location 1018","","A specific paradigm (a method or approach to solving a problem; for example, shrinking transistors on an integrated circuit as a way to make more powerful computers) generates exponential growth until its potential is exhausted. When this happens, a paradigm shift occurs, which enables exponential growth to continue."
"Highlight (Yellow)","Location 1078","","we need to understand its design principles, which are far simpler (that is, contain far less information) than the extremely detailed structures that the genetic information generates through these iterative, fractal-like processes."
