"Your Kindle Notes For:",,,
"THE THREE-BODY PROBLEM (REMEMBRANCE OF EARTH'S PAST)",,,
"by Cixin Liu, Ken Liu",,,
"Free Kindle instant preview:",,,
"http://a.co/czpOTv3",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Page 15","","“Lin Lin is too smart. To work in fundamental theory, one must be stupid.” In later years, I began to understand his words more and more. Lin, you truly are too smart. Even a few years ago, you could feel the political winds shifting in academia and prepared yourself. For example, when you taught, you changed the names of many physical laws and constants: Ohm’s law you called resistance law, Maxwell’s equations you called electromagnetic equations, Planck’s constant you called the quantum constant.… You explained to your students that all scientific accomplishments resulted from the wisdom of the working masses, and those capitalist academic authorities only stole these fruits and put their names on them."
"Highlight (Yellow)","Page 16","","“In China, any idea that dared to take flight would only crash back to the ground. The gravity of reality is too strong.”"
"Highlight (Yellow)","Page 18","","“You: you’re trying to say that God exists?” “I don’t know.” “What?” “I’m saying I don’t know. If by ‘God’ you mean some kind of superconsciousness outside the universe, I don’t know if it exists or not. Science has given no evidence either way.”"
"Highlight (Yellow)","Page 24","","Her company wielded hundreds of chain saws like a swarm of steel locusts, and after they passed, only stumps were left."
"Highlight (Yellow)","Page 27","","Both the ocean and the iceberg are made of the same material. That the iceberg seems separate is only because it is in a different form. In reality, it is but a part of the vast ocean.…"
"Highlight (Yellow)","Page 28","","It was impossible to expect a moral awakening from humankind itself, just like it was impossible to expect humans to lift off the earth by pulling up on their own hair. To achieve moral awakening required a force outside the human race."
"Highlight (Yellow)","Page 38","","“Wenjie, let me put all my cards on the table. Your case has a lot of prosecutorial discretion. On the one hand, we could minimize it as a case of an educated youth being fooled by a reactionary book—it’s not a big deal. We don’t even need to go through a judicial procedure. We’ll have you attend a political class and write a few self-criticism reports, and then you can go back to the Construction Corps. On the other hand, we could also prosecute this case to its fullest extent. Wenjie, you must know that you could be declared an active counter-revolutionary. “Now, faced with political cases like yours, all prosecutorial organs and courts would rather be too severe than too lax. This is because treating you too severely would just be a mistake in method, but treating you too laxly would be a mistake in political direction. Ultimately, however, the decision belongs to the military control commission. Of course, I’m telling you all this off the record.”"
"Highlight (Yellow)","Page 43","","Yang said that he wanted to focus on experimental and applied problems, staying away from theory. Ye Wenjie recalled her father saying, “I’m not opposed to your idea. But we are, after all, the department of theoretical physics. Why do you want to avoid theory?” Yang replied, “I want to devote myself to the times, to make some real-world contributions.” Her father said, “Theory is the foundation of application. Isn’t discovering fundamental laws the biggest contribution to our time?” Yang hesitated and finally revealed his real concern: “It’s easy to make ideological mistakes in theory.” Her father had nothing to say to that."
"Highlight (Yellow)","Page 43","","Yang was very talented, with a good mathematical foundation and a quick mind. But during his brief time as a graduate student, he always kept a respectable distance from his thesis advisor."
"Highlight (Yellow)","Page 62","","“Do you think we’ll forget you have a mouth if you don’t use it all the time?”"
"Highlight (Yellow)","Page 62","","Shi’s questions irritated Wang again, not unlike the feeling a man has upon finding out that he has swallowed a fly with his meal."
"Highlight (Yellow)","Page 64","","a person’s ability to discern the truth is directly proportional to his knowledge.”"
"Highlight (Yellow)","Page 66","","have you ever had anything happen to you that changed your life completely? Some event where afterward the world became a totally different place for you?”"
"Highlight (Yellow)","Page 69","","“We ran the same experiment five times. Four of the experiments differed in both location and time. Two of the experiments were at the same location but different times. Aren’t you shocked by the results?” He opened his arms exaggeratedly. “Five times! Every colliding experiment yielded the exact same result!”"
"Highlight (Yellow)","Page 69","","“Can you explain this incredible result? Please use the language of physics.” “All right … During these five experiments, the mass of the two balls never changed. In terms of their locations, as long as we’re using the frame of reference of the tabletop, there was also no change. The velocity of the white ball striking the black ball also remained basically the same throughout. Thus, the transfer of momentum between the two balls didn’t change. Therefore, in all five experiments, the result was the black ball being driven into the pocket.”"
"Highlight (Yellow)","Page 69","","We’ve discovered a great principle of nature: The laws of physics are invariant across space and time. All the physical laws of human history, from Archimedes’ principle to string theory, and all the scientific discoveries and intellectual fruits of our species are the by-products of this great law. Compared to us two theoreticians, Einstein and Hawking are mere applied engineers.”"
"Highlight (Yellow)","Page 70","","“Imagine another set of results. The first time, the white ball drove the black ball into the pocket. The second time, the black ball bounced away. The third time, the black ball flew onto the ceiling. The fourth time, the black ball shot around the room like a frightened sparrow, finally taking refuge in your jacket pocket. The fifth time, the black ball flew away at nearly the speed of light, breaking the edge of the pool table, shooting through the wall, and leaving the Earth and the Solar System, just like Asimov once described.13 What would you think then?”"
"Highlight (Yellow)","Page 72","","You really believe that the laws of physics are not invariant across time and space?” “I don’t know anything.” Ding stared into Wang’s eyes for a long time. Finally, he said, “But that is the question.”"
"Highlight (Yellow)","Page 74","","two words “shooter” and “farmer.” This was a reference to two hypotheses, both involving the fundamental nature of the laws of the universe. In the shooter hypothesis, a good marksman shoots at a target, creating a hole every ten centimeters. Now suppose the surface of the target is inhabited by intelligent, two-dimensional creatures. Their scientists, after observing the universe, discover a great law: “There exists a hole in the universe every ten centimeters.” They have mistaken the result of the marksman’s momentary whim for an unalterable law of the universe. The farmer hypothesis, on the other hand, has the flavor of a horror story: Every morning on a turkey farm, the farmer comes to feed the turkeys. A scientist turkey, having observed this pattern to hold without change for almost a year, makes the following discovery: “Every morning at eleven, food arrives.” On the morning of Thanksgiving, the scientist announces this law to the other turkeys. But that morning at eleven, food doesn’t arrive; instead, the farmer comes and kills the entire flock. Wang felt the road beneath his feet shift like quicksand. The A-shaped building seemed to wobble and sway. He quickly brought his gaze back to the street."
"Highlight (Yellow)","Page 82","","He glanced at the monitor. The game site’s URL caught his attention: www.3body.net."
"Highlight (Yellow)","Page 90","","finally, the main screen reflected the main reaction chamber’s halted status. Almost simultaneously, the countdown before Wang’s eyes also stopped. The final number was 1174:10:07. A few seconds later, the numbers flickered and disappeared."
"Highlight (Yellow)","Page 112","","the makers of Three Body took the exact opposite of the approach taken by designers of other games. Normally, game designers tried to display as much information as possible to increase the sense of realism. But Three Body’s designers worked to compress the information content to disguise a more complex reality, just like that seemingly empty photograph of the sky."
"Highlight (Yellow)","Page 116","","“But she was a woman. A woman should be like water, able to flow over and around anything.”"
"Highlight (Yellow)","Page 120","","I know that as the universe cooled after the big bang, the leftover ‘embers’ became the cosmic microwave background. The radiation fills the entire universe and can be observed in the centimeter wavelength range. I think it was back in the sixties when two Americans accidentally discovered the radiation when they were testing a supersensitive satellite reception antenna—”"
