"Your Kindle Notes For:",,,
"THE WANDERING EARTH",,,
"by Cixin Liu",,,
"Free Kindle instant preview:",,,
"https://a.co/aU5n5XU",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 82","","For instance, North China Mountain 794 – where we are now – exerts fifteen billion tons of thrust upon the earth when operating at full capacity.’"
"Highlight (Yellow)","Location 94","","Even before the Braking Era ended, its effects upon the Earth had become horrifyingly apparent. The tides caused by the acceleration of the Earth Engines engulfed two-thirds of the Northern hemisphere’s major cities. Then, the rise in global temperatures melted the polar ice caps, which turned the flooding into a catastrophe that spread to the Southern hemisphere. Thirty years ago, my grandfather witnessed giant hundred-meter waves inundating Shanghai."
"Highlight (Yellow)","Location 130","","Over three centuries ago, astrophysicists discovered that the conversion rate of hydrogen to helium in the interior of the Sun was accelerating. They launched thousands of probes straight into the Sun to investigate, and eventually developed a precise mathematical model of the star. Using this model, supercomputers calculated that the Sun had already evolved away from the main sequence on the Hertzsprung-Russell diagram. Helium would soon permeate the Sun’s core, triggering a violent explosion called a helium flash. Afterward, the Sun would become a massive, cool-burning red giant, swelling until its diameter encompassed the Earth’s orbit. But our planet would have been vaporized in the preceding helium flash long before then. All of this was projected to occur in the next four hundred years. Since then, three hundred and eighty years had passed. This solar catastrophe would not only raze and consume every inhabitable terrestrial planet in the solar system – it would also completely transform the composition and orbits of the Jovian planets. After the first helium flash, as heavy elements re-accumulated in the Sun’s core, further runaway nuclear explosions would occur repeatedly for a period of time. While this period represented only a brief phase of stellar evolution, it might last thousands of times longer than all of human history. As long as we remained in the solar system, humanity stood no chance of surviving such a catastrophe. Interstellar emigration was our only way out. Given the level of technology available to humanity at the time, the only viable target for this migration was Proxima Centauri. It was the star closest to our own, a mere 4.3 light-years away."
"Highlight (Yellow)","Location 154","","Global support for the Takers had been rising of late, and they had grown unruly again. ‘Why do you hate us so much?’ asked Ms Stella. Several Leaver children immediately shouted in protest. ‘We won’t wait to die on Earth with you Taker fools!’ ‘We will build spaceships and depart! All hail spaceships!’"
"Highlight (Yellow)","Location 184","","Children, only an ecosystem the size of Earth, with its unstoppable ecological cycle, could sustain us indefinitely! If humanity leaves Earth behind,’ she proclaimed, ‘then we would be as vulnerable as an infant separated from its mother in the middle of a desert!’"
"Highlight (Yellow)","Location 189","","Humanity’s escape was a five-step process. First, the Earth Engines would generate thrust in the opposite direction of the Earth’s movement, halting its rotation. Second, operating at full capacity, the engines would accelerate the Earth until it reached escape velocity, flinging it from the solar system. Third, the Earth would continue to accelerate as it flew through outer space toward Proxima Centauri. Fourth, the engines would reverse direction, restarting the Earth’s rotation and decelerating gradually. Fifth, the Earth would enter into orbit around Proxima Centauri, becoming its satellite. People called these five steps the ‘Braking Era’, the ‘Deserting Era’, the ‘First Wandering Era’ (during acceleration), the ‘Second Wandering Era’ (during deceleration), and the ‘Neosolar Era’. The entire migration process was projected to last 2,500 years, over one hundred generations."
"Highlight (Yellow)","Location 205","","On our voyage home, I saw the first signal for Earth’s departure. A giant comet appeared in the night sky – the Moon. Because we could not take the Moon with us, engines had been installed on the lunar surface to push it out of Earth’s orbit, ensuring that there would be no collision during the acceleration period. The sweeping tail of the Lunar Engines bathed the sea in blue light, obscuring the stars. As it moved past, the Moon’s gravitational pull raised towering breakers. We had to transfer to a plane to fly home to the Northern hemisphere. The day of departure had finally arrived! As soon as we disembarked, we were blinded by the glare of the Earth Engines. They blazed many times brighter than before, no longer slanted but pointing straight toward the sky. The engines were running at maximum power. The planet’s acceleration created thunderous, hundred-meter waves that battered every continent. Blistering hurricanes howled through the towering columns of plasma, whipping up boiling froth and uprooting whole forests … Our planet had become a gigantic comet, its blue tail piercing the darkness of space. Earth was on its way; humanity was on its way."
"Highlight (Yellow)","Location 242","","We began our new lives underground. Located five hundred meters below the surface, our city had space for over one million residents. Many others just like it were scattered across every continent. Here, I finished primary school and entered secondary school. My schooling concentrated on science and engineering. Art, philosophy, and other subjects deemed inessential had been minimized or removed from the curriculum. Humanity had no time for distractions. It was the busiest era in human history. Everyone had work to do, and the work was never finished. Interestingly, every world religion had vanished without a trace overnight. People finally realized that if God truly existed, he was a real bastard. We still studied history, but to us, the Ante-solar Era of human history seemed as mythical as the Garden of Eden."
"Highlight (Yellow)","Location 248","","My father served in the Air Force as an astronaut. He frequently flew low-Earth orbit missions and was rarely at home. I remember in the fifth year of orbital acceleration, when Earth was at aphelion, we took a family trip to the seashore. Aphelion Day was a holiday like New Year’s Eve or Christmas. As Earth entered the part of its orbit furthest from the Sun, everyone basked in a false sense of security, though. We still needed to wear special thermal suits to go to surface. Instead of cooling suits, we donned sealed heating suits powered by nuclear batteries. Outside, we were nearly blinded by the Earth Engines’ towering plasma beams. The harsh light eclipsed our view of the surface world, and it was difficult to tell if the landscape had changed at all. We had to fly for a long time in our car before we escaped the glare and we could actually see the shore. The Sun had shrunk to the size of a baseball."
"Highlight (Yellow)","Location 256","","A large crowd of revelers had gathered atop the frozen sea. Fireworks whistled through the darkness. Everyone was carousing with unusual abandon. Drunken party-goers rolled across the ice, while others belted out the words to a dozen different songs, each trying to drown out the competing voices around them. ‘Despite it all, everyone is living their own lives. No harm in that,’ my father said approvingly. He paused, suddenly remembering something. ‘Oh, I forgot to tell you – I’ve fallen in love with Stella Li. I want to move out to be with her.’ ‘Who is she?’ my mother asked calmly. ‘My primary school teacher,’ I answered for him. I had started secondary school two years ago, and had no idea how my father knew Ms Stella. Maybe they had met at my graduation ceremony? ‘Then go,’ said my mother. ‘I’m sure I’ll grow tired of her soon enough. I’ll come back then. Is that okay by you?’ ‘If you want to, certainly.’ Her voice was as calm and even as the frozen sea. But a moment later, she bubbled with excitement. ‘Oh, that one is beautiful! It must have a holographic diffractor inside!’ She pointed to a firework blossoming in the night sky, genuinely moved by its beauty."
"Highlight (Yellow)","Location 273","","Two months later, my father returned from his jaunt with Ms Stella. My mother was neither happy nor unhappy to see him. ‘Stella has a good impression of you,’ my father told me. ‘She said you were a very creative student.’ ‘Who said that?’ My mother asked with a puzzled expression. ‘My primary school teacher, Ms Stella,’ I replied impatiently. ‘Dad was living with her for the last two months!’"
"Highlight (Yellow)","Location 331","","Earth swept past perihelion and climbed toward aphelion for the sixth time."
"Note","Location 331","","closest point in elliptical orbit to the sun orbited."
"Highlight (Yellow)","Location 348","","Beginning in the sixth orbital period onward, catastrophic magma seepage events occurred all too frequently in cities around the world."
"Highlight (Yellow)","Location 412","","‘Earth is about to pass through the asteroid belt, and the Western hemisphere is facing right toward it.’ ‘But we passed through the asteroid belt on the last few orbits. It’s no big deal, is it?’ ‘We just swiped the edges of the asteroid belt. The Space Fleet could handle that, of course. They have lasers and nukes to clear small rocks from the Earth’s path. But this time…’ He paused. ‘Haven’t you seen the news? This time, Earth will pass straight through the middle of the belt! The fleet will deal with the small rocks, but the large ones…’ On the flight back to Asia, Kayoko turned to me and asked, ‘Are those asteroids very big?’ My father was one of the Space Fleet officers tasked with asteroid diversion and destruction. Therefore, though the government had imposed the usual media blackout to prevent mass panic, I still had some idea of what was about to happen. I told Kayoko that some of the asteroids we faced were the size of mountains; even fifty-megaton thermonuclear bombs would only pockmark their surfaces. ‘They’ll have to use the most powerful weapon in the human arsenal,’ I added mysteriously. ‘You mean antimatter bombs?’ she asked. ‘What else could it be?’ ‘What is the fleet’s cruising range?’ ‘Currently their strength is limited. My dad told me it extends out to about one and a half million kilometers,’ I answered. Kayoko gave a little squeal. ‘Then we’ll be able to see it!’ ‘Best not to look.’"
"Highlight (Yellow)","Location 502","","Three years later, as the dust in the atmosphere dissipated, humanity made its last pass through perihelion. As we reached it, those living in the Eastern hemisphere were privileged to witness the fastest sunrise and sunset in Earth’s history. The Sun leapt up from the sea and streaked rapidly across the sky. Shadows changed directions so quickly that they looked like second hands sweeping across the faces of countless clocks. It was the shortest day Earth had ever seen, over in less than an hour. When the Sun plunged below the horizon and darkness fell across the planet, I felt a twinge of grief. This fleeting day seemed like a brief summary of Earth’s four-and-a-half-billion-year history in the solar system. Even until the end of the universe, Earth would never return. ‘It’s dark,’ Kayoko said sadly. ‘The longest night,’ I replied. In the Eastern hemisphere, this night would last twenty-five hundred years. One hundred generations would pass before the light of Proxima Centauri illuminated this continent anew. The Western hemisphere was facing its longest day, but even so, it would last just a moment compared to our age-long night. On that side of the world, the Sun would quickly rise to its zenith, where it would remain motionless, steadily shrinking. Within half a century, it would be difficult to distinguish from any other star."
"Highlight (Yellow)","Location 527","","I knew that Jupiter was thirteen hundred times the size of Earth, but only when I saw its immense splendor did I truly take in its colossal size."
"Highlight (Yellow)","Location 532","","The famous Great Red Spot appeared, still raging across Jupiter’s surface after hundreds of thousands of years. The maelstrom was large enough to swallow three Earths. Jupiter now filled the entire sky. Earth was like a balloon floating on Jupiter’s boiling red sea of clouds. The Great Red Spot climbed to the middle of the sky and stared down upon our world like a cyclopean eye. The entire landscape was shrouded in its ghastly light. It was impossible to believe that our tiny planet could escape the gravitational field of this colossus."
"Highlight (Yellow)","Location 545","","As it departed Jupiter, Earth reached escape velocity. It no longer needed to return toward the Sun, where only death lurked. As it hurtled toward the open reaches of space, the endless Wandering Era began."
"Highlight (Yellow)","Location 550","","After we left Jupiter behind, Asia’s ten thousand Earth Engines roared to life again. They would operate at full capacity for the next five hundred years, constantly accelerating the planet. During those five hundred years, the engines would consume half of the mountains on the Asian continent as fuel."
"Highlight (Yellow)","Location 577","","An NGO even launched an array of probes toward the Sun, which passed through their target three months later. The data transmitted by the probes finally confirmed the fact: The Sun had not changed at all in the past four centuries."
"Highlight (Yellow)","Location 663","","The helium flash had occurred."
"Highlight (Yellow)","Location 669","","The solar explosion lasted only a short time. After two hours, the light rapidly weakened until it was extinguished altogether. A dim red sphere had replaced the Sun. From our vantage point, it slowly swelled until it reached the size of the Sun of old, a strange memory from Earth’s original orbit. It was so voluminous that its diameter exceeded the orbit of Mars. Mercury, Venus, Mars – Earth’s constant companions – had been reduced to wisps of smoke by the intense thermal radiation. But it was no longer our Sun. No longer emitting light and heat, it resembled a cold piece of red paper pasted onto the firmament, its muted glow merely a reflection of the surrounding starlight. This was the evolutionary fate common to all midsized stars: transformation into a red giant. Five billion years of majestic life were now a fleeting dream. The Sun had died."
"Highlight (Yellow)","Location 680","","As I recall all of this now, half a century has passed. Twenty years ago, Earth sailed past Pluto’s orbit and out of the solar system, continuing its lonely voyage into the vast, cold reaches of space. My last visit to the surface was a dozen or so years ago. I was accompanied by my son and my daughter-in-law, a blonde-haired, blue-eyed girl. She was pregnant at the time. When we arrived on the surface, the first thing I noticed was that I could no longer see the Earth Engines’ massive plasma beams, even though I knew the engines were still operating at full capacity. The Earth’s atmosphere had vanished, leaving nothing to scatter the plasma’s light. The ground was covered with strange translucent yellow-green crystals. They were made of solid oxygen and nitrogen, the remnants of our frozen atmosphere."
"Highlight (Yellow)","Location 690","","0.5 percent of light speed."
"Note","Location 690","","~3M mph"
"Highlight (Yellow)","Location 1015","","We raised a mountain. You came and climbed it. ‘Mountain climbing is my passion,’ Fan answered. >> It is not a question of passion; we must climb mountains."
"Highlight (Yellow)","Location 1033","","We believed the rock stretched endlessly in all directions. Therefore, we saw our world as a hollow bubble in this solid universe, and so we gave our world the name Bubble World and we call this cosmology the Solid Universe Theory."
"Highlight (Yellow)","Location 1040","","‘So these bubbles were the planets of your solid universe? Very interesting,’ Fan commented. ‘Density in our universe is entirely the inverse. Your universe must be an almost exact negative of the real universe.’ >> The real universe? You are ignorantly considering the universe only as you know it right now. You have no idea what the real universe is like, and neither do we. Chastened, Fan decided to continue his line of enquiry. ‘Was there light, air and water in your world?’ >> No, none; and we needed none of them. Our world was made entirely of solids. There were no gases or liquids. ‘No gases or liquids. How did you survive?’ Fan asked. >> We are a mechanical life form. Our muscles and bones are made of metals, our brains are like highly integrated chips, and electricity and magnetism are our blood. We ate the radioactive rocks of our world’s core, and they provided us with the energy we needed to survive. We were not created; we evolved naturally from extremely simple, single-celled mechanical life forms when – by pure chance – the radioactive energies formed p–n junctions in the rocks. Instead of your use of fire, our earliest ancestors discovered the use of electromagnetism. In fact, we never found fire in our world. ‘It must have been very dark there then,’ Fan remarked. >> Actually, there was some light. It was generated by the radioactive activity within our world’s walls. Those walls were our sky. The light of that ‘sky’ was very weak, and it constantly shifted as the radioactivity fluctuated. Yet it led us to evolve eyes."
"Highlight (Yellow)","Location 1056","","The evolutionary process of mechanical life is much slower than that of carbon-based life, but eventually we reached the same ends by different means; and so one day we, too, came to contemplate our universe."
